0,-------,---,---,---,---,---,---,---,---
0,RESULTS,,,,,,,,
0,overall-result,FAIL,,,,,,,
0,z_leveling_test,NOT_RUN,,,,,,,
0,ch8_leveling_test,FAIL,,,,,,,
0,ch96_leveling_test,NOT_RUN,,,,,,,
0,gripper_leveling_test,NOT_RUN,,,,,,,
0.01,--------,,,,,,,,
0.01,METADATA,,,,,,,,
0.01,test-name,test-cli-leveling,,,,,,,
0.01,operator-name,andy,,,,,,,
0.01,session-id,FLXA3020250805002,,,,,,,
0.01,robot,FLXA3020250805002,,,,,,,
0.01,date,run-26-07-06-15-41-04,,,,,,,
0.01,live,,,,,,,,
0.02,version,test-cli-leveling-report-v1,,,,,,,
0.02,-------------------,,,,,,,,
0.1,----,,,,,,,,
0.1,TEST,,,,,,,,
0.1,TEST,ch8_leveling_test,,,,,,,
START_TIME,ROBOT_SN,LEFT_C1_Y_LEFT_REAR,LEFT_C1_Y_LEFT_FRONT,LEFT_C1_Y_RESULT,RIGHT_C1_Y_RIGHT_REAR,RIGHT_C1_Y_RIGHT_FRONT,RIGHT_C1_Y_RESULT,RIGHT_A2_Y_RIGHT_REAR,RIGHT_A2_Y_RIGHT_FRONT,RIGHT_A2_Y_RESULT,RIGHT_C3_Y_RIGHT_REAR,RIGHT_C3_Y_RIGHT_FRONT,RIGHT_C3_Y_RESULT,RESULT_STATUS
2026-07-06-15-40-46,FLXA3020250805002,30.196,30.002,0.194,30.238,29.93,0.308,30.144,29.996,0.148,30.072000000000003,29.948,0.124,FAIL
