copy,copy,copy,copy
0,_______________,,
0,META_DATA_START,,
0,test_name,gravimetric-ot3-p1000-multi,
0.2,test_tag,P1KMV3520260626A02-qc,
0.1,test_run_id,run-26-06-30-17-20-49,
1.7,test_device_id,P1KMV3520260626A02-qc,
1.4,test_robot_id,GRAV11,
0.2,test_time_utc,2026/06/30-17:21:07,
0.5,test_operator,Yanglin,
0.8,test_version,mp.robot_23.11.28_senser_1_ge84a857923-e84a857923,
1.1,firmware,43,55
0,META_DATA_END,,
24572.2,______________________,,
24572.2,RESULTS_OVERVIEW_START,,
24572.2,RESULT_META_DATA,None,
24572.2,RESULT_SERIAL-NUMBERS,None,
24572.2,RESULT_CONFIG,None,
24572.2,RESULT_VOLUMES,None,
24572.2,RESULT_TRIALS,None,
24572.2,RESULT_EVAPORATION,None,
24572.2,RESULT_ENVIRONMENT,None,
24572.2,RESULT_MEASUREMENTS,None,
24572.2,RESULT_ENCODER,None,
24572.2,RESULTS_OVERVIEW_END,,
2,____________________,,
2,SERIAL-NUMBERS_START,,
2,robot,GRAV11,
2.2,pipette,P1KMV3520260626A02-qc,
2.5,tips_50ul,A20260227-O,
None,tips_200ul,None,
2.8,tips_1000ul,B20241126,
3,scale,586332,
3.3,environment,01fe00c6,
3.6,liquid,None,
2,SERIAL-NUMBERS_END,,
12000.1,____________,,
12000.1,CONFIG_START,,
12000.1,name,gravimetric-ot3-p1000-multi,
12000.4,pipette_volume,1000,
12000.8,pipette_channels,8,
12001.1,pipette_mount,left,
12001.4,tip_volume,1000,
12001.7,trials,10,
12002.1,increment,FALSE,
12002.4,return_tip,FALSE,
12002.7,mix,FALSE,
12003.1,user_volumes,FALSE,
12003.4,kind,ConfigType.gravimetric,
12003.7,extra,FALSE,
12004,jog,FALSE,
12004.4,same_tip,FALSE,
12004.7,ignore_fail,TRUE,
12005,mode,,
12005.4,labware_on_scale,radwag_pipette_calibration_vial,
12005.7,slot_scale,4,
12006,blank,TRUE,
12006.3,gantry_speed,40,
12006.7,scale_delay,10,
12007,isolate_channels,,
12007.3,isolate_volumes,,
12000.1,CONFIG_END,,
0.2,_____________,,
0.2,VOLUMES_START,,
11997.6,volume-aspirate-5.0-channel_all-average,5.36,
11997.9,volume-aspirate-5.0-channel_all-cv,1.83,
11998.3,volume-aspirate-5.0-channel_all-d,7.29,
0.2,volume-aspirate-5.0-channel_all-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-channel_all-humidity-pipette-avg,None,
11998.6,volume-dispense-5.0-channel_all-average,5.16,
11998.9,volume-dispense-5.0-channel_all-cv,1.86,
11999.3,volume-dispense-5.0-channel_all-d,3.23,
0.2,volume-dispense-5.0-channel_all-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-channel_all-humidity-pipette-avg,None,
2458.1,volume-aspirate-5.0-channel_1-average,5.34,
2458.4,volume-aspirate-5.0-channel_1-cv,0.97,
2458.6,volume-aspirate-5.0-channel_1-d,6.76,
2458.9,volume-aspirate-5.0-channel_1-celsius-pipette-avg,22.65,
2459.2,volume-aspirate-5.0-channel_1-humidity-pipette-avg,51.57,
2459.5,volume-dispense-5.0-channel_1-average,5.16,
2459.8,volume-dispense-5.0-channel_1-cv,1.36,
2460,volume-dispense-5.0-channel_1-d,3.24,
2460.3,volume-dispense-5.0-channel_1-celsius-pipette-avg,22.62,
2460.6,volume-dispense-5.0-channel_1-humidity-pipette-avg,51.69,
3817.2,volume-aspirate-5.0-channel_2-average,5.37,
3817.5,volume-aspirate-5.0-channel_2-cv,1.06,
3817.8,volume-aspirate-5.0-channel_2-d,7.5,
3818.1,volume-aspirate-5.0-channel_2-celsius-pipette-avg,23.38,
3818.4,volume-aspirate-5.0-channel_2-humidity-pipette-avg,49.21,
3818.7,volume-dispense-5.0-channel_2-average,5.16,
3819,volume-dispense-5.0-channel_2-cv,1.6,
3819.3,volume-dispense-5.0-channel_2-d,3.17,
3819.5,volume-dispense-5.0-channel_2-celsius-pipette-avg,23.36,
3819.8,volume-dispense-5.0-channel_2-humidity-pipette-avg,49.32,
5176.1,volume-aspirate-5.0-channel_3-average,5.38,
5176.4,volume-aspirate-5.0-channel_3-cv,1.91,
5176.7,volume-aspirate-5.0-channel_3-d,7.69,
5177,volume-aspirate-5.0-channel_3-celsius-pipette-avg,23.76,
5177.3,volume-aspirate-5.0-channel_3-humidity-pipette-avg,47.94,
5177.6,volume-dispense-5.0-channel_3-average,5.16,
5177.9,volume-dispense-5.0-channel_3-cv,2.25,
5178.2,volume-dispense-5.0-channel_3-d,3.17,
5178.5,volume-dispense-5.0-channel_3-celsius-pipette-avg,23.75,
5178.8,volume-dispense-5.0-channel_3-humidity-pipette-avg,48.05,
6534.5,volume-aspirate-5.0-channel_4-average,5.41,
6534.8,volume-aspirate-5.0-channel_4-cv,1.83,
6535.1,volume-aspirate-5.0-channel_4-d,8.28,
6535.4,volume-aspirate-5.0-channel_4-celsius-pipette-avg,23.98,
6535.7,volume-aspirate-5.0-channel_4-humidity-pipette-avg,47.76,
6536,volume-dispense-5.0-channel_4-average,5.2,
6536.3,volume-dispense-5.0-channel_4-cv,2.03,
6536.6,volume-dispense-5.0-channel_4-d,4.07,
6536.9,volume-dispense-5.0-channel_4-celsius-pipette-avg,23.99,
6537.2,volume-dispense-5.0-channel_4-humidity-pipette-avg,47.77,
11974.6,volume-aspirate-5.0-channel_5-average,5.42,
11974.9,volume-aspirate-5.0-channel_5-cv,2.46,
11975.3,volume-aspirate-5.0-channel_5-d,8.35,
11975.6,volume-aspirate-5.0-channel_5-celsius-pipette-avg,24.27,
11975.9,volume-aspirate-5.0-channel_5-humidity-pipette-avg,46.99,
11976.3,volume-dispense-5.0-channel_5-average,5.18,
11976.6,volume-dispense-5.0-channel_5-cv,1.87,
11976.9,volume-dispense-5.0-channel_5-d,3.60E+00,
11977.3,volume-dispense-5.0-channel_5-celsius-pipette-avg,24.26,
11977.6,volume-dispense-5.0-channel_5-humidity-pipette-avg,46.97,
10599.6,volume-aspirate-5.0-channel_6-average,5.34E+00,
10599.9,volume-aspirate-5.0-channel_6-cv,1.48,
10600.2,volume-aspirate-5.0-channel_6-d,6.9,
10600.5,volume-aspirate-5.0-channel_6-celsius-pipette-avg,24.23,
10600.8,volume-aspirate-5.0-channel_6-humidity-pipette-avg,47,
10601.2,volume-dispense-5.0-channel_6-average,5.14,
10601.5,volume-dispense-5.0-channel_6-cv,1.9,
10601.8,volume-dispense-5.0-channel_6-d,2.77,
10602.1,volume-dispense-5.0-channel_6-celsius-pipette-avg,24.23,
10602.5,volume-dispense-5.0-channel_6-humidity-pipette-avg,46.96,
9235.1,volume-aspirate-5.0-channel_7-average,5.37E+00,
9235.4,volume-aspirate-5.0-channel_7-cv,1.62,
9235.7,volume-aspirate-5.0-channel_7-d,7.49,
9236,volume-aspirate-5.0-channel_7-celsius-pipette-avg,2.42E+01,
9236.3,volume-aspirate-5.0-channel_7-humidity-pipette-avg,46.97,
9236.7,volume-dispense-5.0-channel_7-average,5.2,
9237,volume-dispense-5.0-channel_7-cv,1.42,
9237.3,volume-dispense-5.0-channel_7-d,4.06,
9237.6,volume-dispense-5.0-channel_7-celsius-pipette-avg,24.19,
9237.9,volume-dispense-5.0-channel_7-humidity-pipette-avg,46.99,
7880,volume-aspirate-5.0-channel_8-average,5.27,
7880.3,volume-aspirate-5.0-channel_8-cv,1.79,
7880.6,volume-aspirate-5.0-channel_8-d,5.35,
7880.9,volume-aspirate-5.0-channel_8-celsius-pipette-avg,2.41E+01,
7881.2,volume-aspirate-5.0-channel_8-humidity-pipette-avg,47.37,
7881.5,volume-dispense-5.0-channel_8-average,5.09,
7881.8,volume-dispense-5.0-channel_8-cv,1.86E+00,
7882.1,volume-dispense-5.0-channel_8-d,1.76E+00,
7882.4,volume-dispense-5.0-channel_8-celsius-pipette-avg,24.12,
7882.7,volume-dispense-5.0-channel_8-humidity-pipette-avg,47.45,
11977.9,volume-aspirate-5.0-trial_1-average,5.39E+00,
11978.2,volume-aspirate-5.0-trial_1-cv,1.52,
11978.6,volume-aspirate-5.0-trial_1-d,7.89,
0.2,volume-aspirate-5.0-trial_1-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_1-humidity-pipette-avg,None,
11978.9,volume-dispense-5.0-trial_1-average,5.2,
11979.2,volume-dispense-5.0-trial_1-cv,1.61E+00,
11979.6,volume-dispense-5.0-trial_1-d,4.02,
0.2,volume-dispense-5.0-trial_1-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_1-humidity-pipette-avg,None,
11979.9,volume-aspirate-5.0-trial_2-average,5.38E+00,
11980.2,volume-aspirate-5.0-trial_2-cv,2.31E+00,
11980.5,volume-aspirate-5.0-trial_2-d,7.53,
0.2,volume-aspirate-5.0-trial_2-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_2-humidity-pipette-avg,None,
11980.9,volume-dispense-5.0-trial_2-average,5.19,
11981.2,volume-dispense-5.0-trial_2-cv,2.53,
11981.5,volume-dispense-5.0-trial_2-d,3.77,
0.2,volume-dispense-5.0-trial_2-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_2-humidity-pipette-avg,None,
11981.9,volume-aspirate-5.0-trial_3-average,5.41,
11982.2,volume-aspirate-5.0-trial_3-cv,1.69E+00,
11982.5,volume-aspirate-5.0-trial_3-d,8.28E+00,
0.2,volume-aspirate-5.0-trial_3-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_3-humidity-pipette-avg,None,
11982.8,volume-dispense-5.0-trial_3-average,5.19,
11983.2,volume-dispense-5.0-trial_3-cv,1.44E+00,
11983.5,volume-dispense-5.0-trial_3-d,3.75E+00,
0.2,volume-dispense-5.0-trial_3-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_3-humidity-pipette-avg,None,
11983.8,volume-aspirate-5.0-trial_4-average,5.40E+00,
11984.1,volume-aspirate-5.0-trial_4-cv,2.43,
11984.5,volume-aspirate-5.0-trial_4-d,8.03E+00,
0.2,volume-aspirate-5.0-trial_4-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_4-humidity-pipette-avg,None,
11984.8,volume-dispense-5.0-trial_4-average,5.15E+00,
11985.1,volume-dispense-5.0-trial_4-cv,1.79E+00,
11985.5,volume-dispense-5.0-trial_4-d,3.03E+00,
0.2,volume-dispense-5.0-trial_4-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_4-humidity-pipette-avg,None,
11985.8,volume-aspirate-5.0-trial_5-average,5.31E+00,
11986.1,volume-aspirate-5.0-trial_5-cv,2.02,
11986.4,volume-aspirate-5.0-trial_5-d,6.29,
0.2,volume-aspirate-5.0-trial_5-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_5-humidity-pipette-avg,None,
11986.8,volume-dispense-5.0-trial_5-average,5.15E+00,
11987.1,volume-dispense-5.0-trial_5-cv,2.07,
11987.4,volume-dispense-5.0-trial_5-d,3.02E+00,
0.2,volume-dispense-5.0-trial_5-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_5-humidity-pipette-avg,None,
11987.8,volume-aspirate-5.0-trial_6-average,5.33E+00,
11988.1,volume-aspirate-5.0-trial_6-cv,1.69,
11988.4,volume-aspirate-5.0-trial_6-d,6.60E+00,
0.2,volume-aspirate-5.0-trial_6-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_6-humidity-pipette-avg,None,
11988.8,volume-dispense-5.0-trial_6-average,5.1,
11989.1,volume-dispense-5.0-trial_6-cv,2.59E+00,
11989.4,volume-dispense-5.0-trial_6-d,1.94,
0.2,volume-dispense-5.0-trial_6-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_6-humidity-pipette-avg,None,
11989.7,volume-aspirate-5.0-trial_7-average,5.38E+00,
11990.1,volume-aspirate-5.0-trial_7-cv,1.20E+00,
11990.4,volume-aspirate-5.0-trial_7-d,7.55E+00,
0.2,volume-aspirate-5.0-trial_7-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_7-humidity-pipette-avg,None,
11990.7,volume-dispense-5.0-trial_7-average,5.16,
11991.1,volume-dispense-5.0-trial_7-cv,1.37E+00,
11991.4,volume-dispense-5.0-trial_7-d,3.27,
0.2,volume-dispense-5.0-trial_7-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_7-humidity-pipette-avg,None,
11991.7,volume-aspirate-5.0-trial_8-average,5.29,
11992,volume-aspirate-5.0-trial_8-cv,1.46E+00,
11992.4,volume-aspirate-5.0-trial_8-d,5.85,
0.2,volume-aspirate-5.0-trial_8-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_8-humidity-pipette-avg,None,
11992.7,volume-dispense-5.0-trial_8-average,5.14E+00,
11993,volume-dispense-5.0-trial_8-cv,1.87E+00,
11993.3,volume-dispense-5.0-trial_8-d,2.85,
0.2,volume-dispense-5.0-trial_8-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_8-humidity-pipette-avg,None,
11993.7,volume-aspirate-5.0-trial_9-average,5.4,
11994,volume-aspirate-5.0-trial_9-cv,1.7,
11994.3,volume-aspirate-5.0-trial_9-d,8.05E+00,
0.2,volume-aspirate-5.0-trial_9-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_9-humidity-pipette-avg,None,
11994.7,volume-dispense-5.0-trial_9-average,5.2,
11995,volume-dispense-5.0-trial_9-cv,1.59E+00,
11995.3,volume-dispense-5.0-trial_9-d,4.00E+00,
0.2,volume-dispense-5.0-trial_9-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_9-humidity-pipette-avg,None,
11995.6,volume-aspirate-5.0-trial_10-average,5.34,
11996,volume-aspirate-5.0-trial_10-cv,1.33E+00,
11996.3,volume-aspirate-5.0-trial_10-d,6.79E+00,
0.2,volume-aspirate-5.0-trial_10-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_10-humidity-pipette-avg,None,
11996.6,volume-dispense-5.0-trial_10-average,5.13E+00,
11997,volume-dispense-5.0-trial_10-cv,1.2,
11997.3,volume-dispense-5.0-trial_10-d,2.63E+00,
0.2,volume-dispense-5.0-trial_10-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_10-humidity-pipette-avg,None,
24570.3,volume-aspirate-1000.0-channel_all-average,997.26,
24570.7,volume-aspirate-1000.0-channel_all-cv,0.03,
24571,volume-aspirate-1000.0-channel_all-d,-0.27,
0.2,volume-aspirate-1000.0-channel_all-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-channel_all-humidity-pipette-avg,None,
24571.4,volume-dispense-1000.0-channel_all-average,9.97E+02,
24571.8,volume-dispense-1000.0-channel_all-cv,0.03,
24572.2,volume-dispense-1000.0-channel_all-d,-0.3,
0.2,volume-dispense-1000.0-channel_all-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-channel_all-humidity-pipette-avg,None,
14582.6,volume-aspirate-1000.0-channel_1-average,9.97E+02,
14582.9,volume-aspirate-1000.0-channel_1-cv,0.02,
14583.3,volume-aspirate-1000.0-channel_1-d,-3.20E-01,
14583.6,volume-aspirate-1000.0-channel_1-celsius-pipette-avg,2.44E+01,
14583.9,volume-aspirate-1000.0-channel_1-humidity-pipette-avg,4.67E+01,
14584.3,volume-dispense-1000.0-channel_1-average,9.97E+02,
14584.6,volume-dispense-1000.0-channel_1-cv,0.02,
14584.9,volume-dispense-1000.0-channel_1-d,-3.50E-01,
14585.3,volume-dispense-1000.0-channel_1-celsius-pipette-avg,2.44E+01,
14585.6,volume-dispense-1000.0-channel_1-humidity-pipette-avg,46.71,
16018.2,volume-aspirate-1000.0-channel_2-average,997.19,
16018.6,volume-aspirate-1000.0-channel_2-cv,2.00E-02,
16018.9,volume-aspirate-1000.0-channel_2-d,-0.28,
16019.3,volume-aspirate-1000.0-channel_2-celsius-pipette-avg,2.44E+01,
16019.6,volume-aspirate-1000.0-channel_2-humidity-pipette-avg,46.49,
16020,volume-dispense-1000.0-channel_2-average,9.97E+02,
16020.3,volume-dispense-1000.0-channel_2-cv,2.00E-02,
16020.7,volume-dispense-1000.0-channel_2-d,-0.32,
16021,volume-dispense-1000.0-channel_2-celsius-pipette-avg,2.44E+01,
16021.4,volume-dispense-1000.0-channel_2-humidity-pipette-avg,46.5,
17454.4,volume-aspirate-1000.0-channel_3-average,9.97E+02,
17454.7,volume-aspirate-1000.0-channel_3-cv,2.00E-02,
17455.1,volume-aspirate-1000.0-channel_3-d,-0.28,
17455.4,volume-aspirate-1000.0-channel_3-celsius-pipette-avg,24.38,
17455.8,volume-aspirate-1000.0-channel_3-humidity-pipette-avg,4.66E+01,
17456.1,volume-dispense-1000.0-channel_3-average,996.9,
17456.5,volume-dispense-1000.0-channel_3-cv,2.00E-02,
17456.8,volume-dispense-1000.0-channel_3-d,-0.31,
17457.2,volume-dispense-1000.0-channel_3-celsius-pipette-avg,2.44E+01,
17457.5,volume-dispense-1000.0-channel_3-humidity-pipette-avg,4.67E+01,
18888.7,volume-aspirate-1000.0-channel_4-average,9.98E+02,
18889.1,volume-aspirate-1000.0-channel_4-cv,2.00E-02,
18889.4,volume-aspirate-1000.0-channel_4-d,-0.25,
18889.8,volume-aspirate-1000.0-channel_4-celsius-pipette-avg,2.44E+01,
18890.1,volume-aspirate-1000.0-channel_4-humidity-pipette-avg,4.67E+01,
18890.5,volume-dispense-1000.0-channel_4-average,997.21,
18890.8,volume-dispense-1000.0-channel_4-cv,0.02,
18891.2,volume-dispense-1000.0-channel_4-d,-2.80E-01,
18891.6,volume-dispense-1000.0-channel_4-celsius-pipette-avg,24.41,
18891.9,volume-dispense-1000.0-channel_4-humidity-pipette-avg,4.66E+01,
24543.3,volume-aspirate-1000.0-channel_5-average,997.19,
24543.7,volume-aspirate-1000.0-channel_5-cv,3.00E-02,
24544.1,volume-aspirate-1000.0-channel_5-d,-2.80E-01,
24544.4,volume-aspirate-1000.0-channel_5-celsius-pipette-avg,24.49,
24544.8,volume-aspirate-1000.0-channel_5-humidity-pipette-avg,4.62E+01,
24545.2,volume-dispense-1000.0-channel_5-average,996.88,
24545.6,volume-dispense-1000.0-channel_5-cv,4.00E-02,
24546,volume-dispense-1000.0-channel_5-d,-3.10E-01,
24546.4,volume-dispense-1000.0-channel_5-celsius-pipette-avg,24.49,
24546.8,volume-dispense-1000.0-channel_5-humidity-pipette-avg,46.05,
23108.3,volume-aspirate-1000.0-channel_6-average,9.97E+02,
23108.7,volume-aspirate-1000.0-channel_6-cv,0.02,
23109,volume-aspirate-1000.0-channel_6-d,-2.60E-01,
23109.4,volume-aspirate-1000.0-channel_6-celsius-pipette-avg,24.48,
23109.8,volume-aspirate-1000.0-channel_6-humidity-pipette-avg,4.62E+01,
23110.2,volume-dispense-1000.0-channel_6-average,9.97E+02,
23110.6,volume-dispense-1000.0-channel_6-cv,2.00E-02,
23110.9,volume-dispense-1000.0-channel_6-d,-2.90E-01,
23111.3,volume-dispense-1000.0-channel_6-celsius-pipette-avg,24.48,
23111.7,volume-dispense-1000.0-channel_6-humidity-pipette-avg,4.62E+01,
21687.7,volume-aspirate-1000.0-channel_7-average,9.98E+02,
21688.1,volume-aspirate-1000.0-channel_7-cv,0.02,
21688.5,volume-aspirate-1000.0-channel_7-d,-0.25,
21688.8,volume-aspirate-1000.0-channel_7-celsius-pipette-avg,2.45E+01,
21689.2,volume-aspirate-1000.0-channel_7-humidity-pipette-avg,46.45,
21689.6,volume-dispense-1000.0-channel_7-average,9.97E+02,
21690,volume-dispense-1000.0-channel_7-cv,0.02,
21690.4,volume-dispense-1000.0-channel_7-d,-2.80E-01,
21690.7,volume-dispense-1000.0-channel_7-celsius-pipette-avg,2.45E+01,
21691.1,volume-dispense-1000.0-channel_7-humidity-pipette-avg,4.64E+01,
20282.3,volume-aspirate-1000.0-channel_8-average,9.97E+02,
20282.6,volume-aspirate-1000.0-channel_8-cv,0.04,
20283,volume-aspirate-1000.0-channel_8-d,-2.80E-01,
20283.4,volume-aspirate-1000.0-channel_8-celsius-pipette-avg,2.45E+01,
20283.7,volume-aspirate-1000.0-channel_8-humidity-pipette-avg,46.32,
20284.1,volume-dispense-1000.0-channel_8-average,996.98,
20284.5,volume-dispense-1000.0-channel_8-cv,3.00E-02,
20284.8,volume-dispense-1000.0-channel_8-d,-0.3,
20285.2,volume-dispense-1000.0-channel_8-celsius-pipette-avg,2.44E+01,
20285.5,volume-dispense-1000.0-channel_8-humidity-pipette-avg,46.35,
24547.1,volume-aspirate-1000.0-trial_1-average,9.97E+02,
24547.5,volume-aspirate-1000.0-trial_1-cv,3.00E-02,
24547.9,volume-aspirate-1000.0-trial_1-d,-2.70E-01,
0.2,volume-aspirate-1000.0-trial_1-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_1-humidity-pipette-avg,None,
24548.3,volume-dispense-1000.0-trial_1-average,9.97E+02,
24548.7,volume-dispense-1000.0-trial_1-cv,3.00E-02,
24549.1,volume-dispense-1000.0-trial_1-d,-0.31,
0.2,volume-dispense-1000.0-trial_1-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_1-humidity-pipette-avg,None,
24549.4,volume-aspirate-1000.0-trial_2-average,997.25,
24549.8,volume-aspirate-1000.0-trial_2-cv,3.00E-02,
24550.2,volume-aspirate-1000.0-trial_2-d,-0.28,
0.2,volume-aspirate-1000.0-trial_2-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_2-humidity-pipette-avg,None,
24550.6,volume-dispense-1000.0-trial_2-average,9.97E+02,
24551,volume-dispense-1000.0-trial_2-cv,3.00E-02,
24551.4,volume-dispense-1000.0-trial_2-d,-0.31,
0.2,volume-dispense-1000.0-trial_2-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_2-humidity-pipette-avg,None,
24551.7,volume-aspirate-1000.0-trial_3-average,997.24,
24552.1,volume-aspirate-1000.0-trial_3-cv,0.03,
24552.5,volume-aspirate-1000.0-trial_3-d,-2.80E-01,
0.2,volume-aspirate-1000.0-trial_3-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_3-humidity-pipette-avg,None,
24552.9,volume-dispense-1000.0-trial_3-average,996.93,
24553.3,volume-dispense-1000.0-trial_3-cv,4.00E-02,
24553.7,volume-dispense-1000.0-trial_3-d,-3.10E-01,
0.2,volume-dispense-1000.0-trial_3-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_3-humidity-pipette-avg,None,
24554.1,volume-aspirate-1000.0-trial_4-average,997.25,
24554.4,volume-aspirate-1000.0-trial_4-cv,3.00E-02,
24554.8,volume-aspirate-1000.0-trial_4-d,-2.70E-01,
0.2,volume-aspirate-1000.0-trial_4-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_4-humidity-pipette-avg,None,
24555.2,volume-dispense-1000.0-trial_4-average,9.97E+02,
24555.6,volume-dispense-1000.0-trial_4-cv,0.03,
24556,volume-dispense-1000.0-trial_4-d,-3.00E-01,
0.2,volume-dispense-1000.0-trial_4-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_4-humidity-pipette-avg,None,
24556.4,volume-aspirate-1000.0-trial_5-average,9.97E+02,
24556.7,volume-aspirate-1000.0-trial_5-cv,3.00E-02,
24557.1,volume-aspirate-1000.0-trial_5-d,-2.60E-01,
0.2,volume-aspirate-1000.0-trial_5-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_5-humidity-pipette-avg,None,
24557.5,volume-dispense-1000.0-trial_5-average,9.97E+02,
24557.9,volume-dispense-1000.0-trial_5-cv,0.03,
24558.3,volume-dispense-1000.0-trial_5-d,-0.3,
0.2,volume-dispense-1000.0-trial_5-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_5-humidity-pipette-avg,None,
24558.7,volume-aspirate-1000.0-trial_6-average,9.97E+02,
24559.1,volume-aspirate-1000.0-trial_6-cv,0.03,
24559.4,volume-aspirate-1000.0-trial_6-d,-2.70E-01,
