copy,copy,copy,copy,copy
0.0,_______________
0.0,META_DATA_START
0.0,test_name,peek-burn-in-qc-ot3-results
3.9,test_tag,P1KMV3520260122A08-results
0.0,test_run_id,run-26-05-25-06-31-35
3.9,test_device_id,P1KMV3520260122A08,P1KMV3520260122A08,PASS
3.9,test_robot_id,
0.0,test_time_utc,2026/05/25-06:31:35
3.9,test_operator,operator,PASS
3.9,test_version,v8.3.0_104_gad948da539-ad948da539
3.9,firmware,33, 60
0.0,META_DATA_END
161050.0,______________________
161050.0,RESULTS_OVERVIEW_START
161050.0,RESULT_META_DATA,PASS
161050.0,RESULT_SUMMARY_RESULTS,PASS
161050.0,RESULTS_OVERVIEW_END
3564.2,_____________________
3564.2,CYCLING-RESULTS_START
3564.2,cycle-0,0,PASS
7162.3,cycle-500,0,PASS
10775.5,cycle-1000,0,PASS
14299.6,cycle-1500,0,PASS
17945.9,cycle-2000,0,PASS
21352.2,cycle-2500,0,PASS
25027.8,cycle-3000,0,PASS
28462.1,cycle-3500,0,PASS
31912.0,cycle-4000,0,PASS
35378.4,cycle-4500,0,PASS
38884.3,cycle-5000,0,PASS
42523.1,cycle-5500,0,PASS
46197.2,cycle-6000,0,PASS
49879.2,cycle-6500,0,PASS
53592.1,cycle-7000,0,PASS
57362.1,cycle-7500,0,PASS
61227.5,cycle-8000,0,PASS
65167.2,cycle-8500,0,PASS
69158.7,cycle-9000,0,PASS
73217.6,cycle-9500,0,PASS
77212.5,cycle-10000,0,PASS
81305.7,cycle-10500,0,PASS
85419.3,cycle-11000,0,PASS
89549.3,cycle-11500,0,PASS
93689.4,cycle-12000,0,PASS
97849.7,cycle-12500,0,PASS
102027.5,cycle-13000,0,PASS
106224.3,cycle-13500,0,PASS
110436.7,cycle-14000,0,PASS
114667.2,cycle-14500,0,PASS
118912.3,cycle-15000,0,PASS
123174.1,cycle-15500,0,PASS
127455.6,cycle-16000,0,PASS
131743.2,cycle-16500,0,PASS
136046.5,cycle-17000,0,PASS
140368.2,cycle-17500,0,PASS
144699.1,cycle-18000,0,PASS
149055.5,cycle-18500,0,PASS
153419.4,cycle-19000,0,PASS
157796.0,cycle-19500,0,PASS
161050.0,cycle-20000,0,PASS
3564.2,CYCLING-RESULTS_END
161050.0,_____________________
161050.0,SUMMARY_RESULTS_START
161050.0,BURN_IN_TEST_RESULTS,PASS
161050.0,TEST_PLUNGER_RESULTS,PASS
161050.0,CYCLE_PLUNGER_RESULTS,PASS
161050.0,TEST_PLUNGER_FAIL_REASON,N/A
161050.0,CYCLE_PLUNGER_REASON,N/A
161050.0,SUMMARY_RESULTS_END
