copy,copy,copy,copy,copy,copy,copy,
0,_______________,,,,,,
0,META_DATA_START,,,,,,
0,test_name,pipette-current-speed-qc-ot3,,,,,
8.8,test_tag,P50MV3520260202A02,,,,,
0,test_run_id,run-26-03-14-19-06-27,,,,,
8.8,test_device_id,P50MV3520260202A02,P50MV3520260202A02,PASS,,,
8.8,test_robot_id,FLXA1020230816004,,,,,
0,test_time_utc,2026/03/14-19:06:27,,,,,
3.4,test_operator,Jiqing,PASS,,,,
8.8,test_version,v8.3.0_97_gbefdb8b34b-befdb8b34b,,,,,
8.8,firmware,60,,,,,
0,META_DATA_END,,,,,,
255.2,______________________,,,,,,
255.2,RESULTS_OVERVIEW_START,,,,,,
255.2,RESULT_META_DATA,PASS,,,,,
255.2,RESULT_CURRENT-0.3-AMPS,None,,,,,
255.2,RESULT_CURRENT-0.4-AMPS,None,,,,,
255.2,RESULT_CURRENT-0.5-AMPS,None,,,,,
255.2,RESULT_CURRENT-0.75-AMPS,PASS,,,,,
255.2,RESULT_CURRENT-1.0-AMPS,PASS,,,,,
255.2,RESULTS_OVERVIEW_END,,,,,,
12.3,______________________,,,,,,
12.3,CURRENT-0.3-AMPS_START,,,,,,
12.3,current-0.3-speed-trial-0-50-down-start,0.3,50,0,0,,
12.6,current-0.3-speed-trial-0-50-down-end,0.3,50,1,0.02,,
None,current-0.3-speed-trial-0-50-up-start,None,None,None,None,,
None,current-0.3-speed-trial-0-50-up-end,None,None,None,None,,
12.8,current-0.3-speed-trial-1-50-down-start,0.3,50,0.04,0.04,,
13,current-0.3-speed-trial-1-50-down-end,0.3,50,1.04,0.06,,
None,current-0.3-speed-trial-1-50-up-start,None,None,None,None,,
None,current-0.3-speed-trial-1-50-up-end,None,None,None,None,,
13.2,current-0.3-speed-trial-2-50-down-start,0.3,50,0.08,0.08,,
13.4,current-0.3-speed-trial-2-50-down-end,0.3,50,1.08,0.11,,
None,current-0.3-speed-trial-2-50-up-start,None,None,None,None,,
None,current-0.3-speed-trial-2-50-up-end,None,None,None,None,,
13.6,current-0.3-speed-trial-3-50-down-start,0.3,50,0.12,0.12,,
13.9,current-0.3-speed-trial-3-50-down-end,0.3,50,1.12,0.15,,
None,current-0.3-speed-trial-3-50-up-start,None,None,None,None,,
None,current-0.3-speed-trial-3-50-up-end,None,None,None,None,,
14.1,current-0.3-speed-trial-4-50-down-start,0.3,50,0.16,0.16,,
14.4,current-0.3-speed-trial-4-50-down-end,0.3,50,1.16,0.19,,
None,current-0.3-speed-trial-4-50-up-start,None,None,None,None,,
None,current-0.3-speed-trial-4-50-up-end,None,None,None,None,,
14.6,current-0.3-speed-trial-0-70-down-start,0.3,70,0.2,0.2,,
14.9,current-0.3-speed-trial-0-70-down-end,0.3,70,1.2,0.23,,
None,current-0.3-speed-trial-0-70-up-start,None,None,None,None,,
None,current-0.3-speed-trial-0-70-up-end,None,None,None,None,,
15.1,current-0.3-speed-trial-1-70-down-start,0.3,70,0.24,0.24,,
15.3,current-0.3-speed-trial-1-70-down-end,0.3,70,1.24,0.27,,
None,current-0.3-speed-trial-1-70-up-start,None,None,None,None,,
None,current-0.3-speed-trial-1-70-up-end,None,None,None,None,,
15.5,current-0.3-speed-trial-2-70-down-start,0.3,70,0.28,0.28,,
15.7,current-0.3-speed-trial-2-70-down-end,0.3,70,1.28,0.31,,
None,current-0.3-speed-trial-2-70-up-start,None,None,None,None,,
None,current-0.3-speed-trial-2-70-up-end,None,None,None,None,,
15.9,current-0.3-speed-trial-3-70-down-start,0.3,70,0.32,0.32,,
16.2,current-0.3-speed-trial-3-70-down-end,0.3,70,1.32,0.35,,
None,current-0.3-speed-trial-3-70-up-start,None,None,None,None,,
None,current-0.3-speed-trial-3-70-up-end,None,None,None,None,,
16.4,current-0.3-speed-trial-4-70-down-start,0.3,70,0.36,0.36,,
16.6,current-0.3-speed-trial-4-70-down-end,0.3,70,1.36,0.39,,
None,current-0.3-speed-trial-4-70-up-start,None,None,None,None,,
None,current-0.3-speed-trial-4-70-up-end,None,None,None,None,,
16.8,current-0.3-speed-trial-0-80-down-start,0.3,80,0.4,0.4,,
17,current-0.3-speed-trial-0-80-down-end,0.3,80,1.4,0.43,,
None,current-0.3-speed-trial-0-80-up-start,None,None,None,None,,
None,current-0.3-speed-trial-0-80-up-end,None,None,None,None,,
17.2,current-0.3-speed-trial-1-80-down-start,0.3,80,0.44,0.44,,
17.5,current-0.3-speed-trial-1-80-down-end,0.3,80,1.44,0.48,,
None,current-0.3-speed-trial-1-80-up-start,None,None,None,None,,
None,current-0.3-speed-trial-1-80-up-end,None,None,None,None,,
17.7,current-0.3-speed-trial-2-80-down-start,0.3,80,0.48,0.48,,
17.9,current-0.3-speed-trial-2-80-down-end,0.3,80,1.48,0.51,,
None,current-0.3-speed-trial-2-80-up-start,None,None,None,None,,
None,current-0.3-speed-trial-2-80-up-end,None,None,None,None,,
18.1,current-0.3-speed-trial-3-80-down-start,0.3,80,0.52,0.53,,
18.4,current-0.3-speed-trial-3-80-down-end,0.3,80,1.52,0.55,,
None,current-0.3-speed-trial-3-80-up-start,None,None,None,None,,
None,current-0.3-speed-trial-3-80-up-end,None,None,None,None,,
18.6,current-0.3-speed-trial-4-80-down-start,0.3,80,0.56,0.56,,
18.8,current-0.3-speed-trial-4-80-down-end,0.3,80,1.56,0.59,,
None,current-0.3-speed-trial-4-80-up-start,None,None,None,None,,
None,current-0.3-speed-trial-4-80-up-end,None,None,None,None,,
19,current-0.3-speed-trial-0-90-down-start,0.3,90,0.6,0.6,,
19.2,current-0.3-speed-trial-0-90-down-end,0.3,90,1.6,0.63,,
None,current-0.3-speed-trial-0-90-up-start,None,None,None,None,,
None,current-0.3-speed-trial-0-90-up-end,None,None,None,None,,
19.4,current-0.3-speed-trial-1-90-down-start,0.3,90,0.65,0.65,,
19.6,current-0.3-speed-trial-1-90-down-end,0.3,90,1.65,0.67,,
None,current-0.3-speed-trial-1-90-up-start,None,None,None,None,,
None,current-0.3-speed-trial-1-90-up-end,None,None,None,None,,
19.8,current-0.3-speed-trial-2-90-down-start,0.3,90,0.69,0.69,,
20.1,current-0.3-speed-trial-2-90-down-end,0.3,90,1.69,0.72,,
None,current-0.3-speed-trial-2-90-up-start,None,None,None,None,,
None,current-0.3-speed-trial-2-90-up-end,None,None,None,None,,
20.2,current-0.3-speed-trial-3-90-down-start,0.3,90,0.73,0.73,,
20.5,current-0.3-speed-trial-3-90-down-end,0.3,90,1.73,0.75,,
None,current-0.3-speed-trial-3-90-up-start,None,None,None,None,,
None,current-0.3-speed-trial-3-90-up-end,None,None,None,None,,
20.6,current-0.3-speed-trial-4-90-down-start,0.3,90,0.77,0.77,,
20.9,current-0.3-speed-trial-4-90-down-end,0.3,90,1.77,0.79,,
None,current-0.3-speed-trial-4-90-up-start,None,None,None,None,,
None,current-0.3-speed-trial-4-90-up-end,None,None,None,None,,
12.3,CURRENT-0.3-AMPS_END,,,,,,
21.1,______________________,,,,,,
21.1,CURRENT-0.4-AMPS_START,,,,,,
21.1,current-0.4-speed-trial-0-50-down-start,0.4,50,0.81,0.81,,
22.9,current-0.4-speed-trial-0-50-down-end,0.4,50,76.5,76.5,,
22.9,current-0.4-speed-trial-0-50-up-start,0.4,50,76.5,76.5,,
24.7,current-0.4-speed-trial-0-50-up-end,0.4,50,1,1,,
24.8,current-0.4-speed-trial-1-50-down-start,0.4,50,1,1,,
26.6,current-0.4-speed-trial-1-50-down-end,0.4,50,76.5,76.5,,
26.6,current-0.4-speed-trial-1-50-up-start,0.4,50,76.5,76.5,,
28.4,current-0.4-speed-trial-1-50-up-end,0.4,50,1,1,,
28.6,current-0.4-speed-trial-2-50-down-start,0.4,50,1,1,,
30.3,current-0.4-speed-trial-2-50-down-end,0.4,50,76.5,76.5,,
30.3,current-0.4-speed-trial-2-50-up-start,0.4,50,76.5,76.5,,
32.1,current-0.4-speed-trial-2-50-up-end,0.4,50,1,1,,
32.3,current-0.4-speed-trial-3-50-down-start,0.4,50,1,1,,
34,current-0.4-speed-trial-3-50-down-end,0.4,50,76.5,76.5,,
34.1,current-0.4-speed-trial-3-50-up-start,0.4,50,76.5,76.5,,
35.8,current-0.4-speed-trial-3-50-up-end,0.4,50,1,1,,
36,current-0.4-speed-trial-4-50-down-start,0.4,50,1,1,,
37.7,current-0.4-speed-trial-4-50-down-end,0.4,50,76.5,76.5,,
37.8,current-0.4-speed-trial-4-50-up-start,0.4,50,76.5,76.5,,
39.5,current-0.4-speed-trial-4-50-up-end,0.4,50,1,1,,
39.7,current-0.4-speed-trial-0-70-down-start,0.4,70,1,1,,
41,current-0.4-speed-trial-0-70-down-end,0.4,70,76.5,76.5,,
41,current-0.4-speed-trial-0-70-up-start,0.4,70,76.5,76.5,,
42.3,current-0.4-speed-trial-0-70-up-end,0.4,70,1,1,,
42.5,current-0.4-speed-trial-1-70-down-start,0.4,70,1,1,,
43.9,current-0.4-speed-trial-1-70-down-end,0.4,70,76.5,76.5,,
43.9,current-0.4-speed-trial-1-70-up-start,0.4,70,76.5,76.5,,
45.2,current-0.4-speed-trial-1-70-up-end,0.4,70,1,1,,
45.4,current-0.4-speed-trial-2-70-down-start,0.4,70,1,1,,
46.8,current-0.4-speed-trial-2-70-down-end,0.4,70,76.5,76.5,,
46.8,current-0.4-speed-trial-2-70-up-start,0.4,70,76.5,76.5,,
48.2,current-0.4-speed-trial-2-70-up-end,0.4,70,1,1,,
48.4,current-0.4-speed-trial-3-70-down-start,0.4,70,1,1,,
49.7,current-0.4-speed-trial-3-70-down-end,0.4,70,76.5,76.5,,
49.8,current-0.4-speed-trial-3-70-up-start,0.4,70,76.5,76.5,,
51.1,current-0.4-speed-trial-3-70-up-end,0.4,70,1,1,,
51.3,current-0.4-speed-trial-4-70-down-start,0.4,70,1,1,,
52.7,current-0.4-speed-trial-4-70-down-end,0.4,70,76.5,76.5,,
52.7,current-0.4-speed-trial-4-70-up-start,0.4,70,76.5,76.5,,
54.1,current-0.4-speed-trial-4-70-up-end,0.4,70,1,1,,
54.2,current-0.4-speed-trial-0-80-down-start,0.4,80,1,1,,
55.4,current-0.4-speed-trial-0-80-down-end,0.4,80,76.5,76.5,,
55.5,current-0.4-speed-trial-0-80-up-start,0.4,80,76.5,76.5,,
56.7,current-0.4-speed-trial-0-80-up-end,0.4,80,1,1,,
56.8,current-0.4-speed-trial-1-80-down-start,0.4,80,1,1,,
58,current-0.4-speed-trial-1-80-down-end,0.4,80,76.5,76.5,,
58,current-0.4-speed-trial-1-80-up-start,0.4,80,76.5,76.5,,
59.2,current-0.4-speed-trial-1-80-up-end,0.4,80,1,1,,
59.4,current-0.4-speed-trial-2-80-down-start,0.4,80,1,1,,
60.7,current-0.4-speed-trial-2-80-down-end,0.4,80,76.5,76.5,,
60.7,current-0.4-speed-trial-2-80-up-start,0.4,80,76.5,76.5,,
61.9,current-0.4-speed-trial-2-80-up-end,0.4,80,1,1,,
62.1,current-0.4-speed-trial-3-80-down-start,0.4,80,1,1,,
63.3,current-0.4-speed-trial-3-80-down-end,0.4,80,76.5,76.5,,
63.3,current-0.4-speed-trial-3-80-up-start,0.4,80,76.5,76.5,,
64.5,current-0.4-speed-trial-3-80-up-end,0.4,80,1,1,,
64.7,current-0.4-speed-trial-4-80-down-start,0.4,80,1,1,,
65.9,current-0.4-speed-trial-4-80-down-end,0.4,80,76.5,76.5,,
65.9,current-0.4-speed-trial-4-80-up-start,0.4,80,76.5,76.5,,
67.1,current-0.4-speed-trial-4-80-up-end,0.4,80,1,1,,
67.4,current-0.4-speed-trial-0-90-down-start,0.4,90,1,1,,
68.5,current-0.4-speed-trial-0-90-down-end,0.4,90,76.5,76.5,,
68.5,current-0.4-speed-trial-0-90-up-start,0.4,90,76.5,76.5,,
69.6,current-0.4-speed-trial-0-90-up-end,0.4,90,1,1,,
69.9,current-0.4-speed-trial-1-90-down-start,0.4,90,1,1,,
71,current-0.4-speed-trial-1-90-down-end,0.4,90,76.5,76.5,,
71,current-0.4-speed-trial-1-90-up-start,0.4,90,76.5,76.5,,
72.1,current-0.4-speed-trial-1-90-up-end,0.4,90,1,1,,
72.3,current-0.4-speed-trial-2-90-down-start,0.4,90,1,1,,
73.4,current-0.4-speed-trial-2-90-down-end,0.4,90,76.5,76.5,,
73.4,current-0.4-speed-trial-2-90-up-start,0.4,90,76.5,76.5,,
74.5,current-0.4-speed-trial-2-90-up-end,0.4,90,1,1,,
74.7,current-0.4-speed-trial-3-90-down-start,0.4,90,1,1,,
75.9,current-0.4-speed-trial-3-90-down-end,0.4,90,76.5,76.5,,
75.9,current-0.4-speed-trial-3-90-up-start,0.4,90,76.5,76.5,,
77,current-0.4-speed-trial-3-90-up-end,0.4,90,1,1,,
77.2,current-0.4-speed-trial-4-90-down-start,0.4,90,1,1,,
78.3,current-0.4-speed-trial-4-90-down-end,0.4,90,76.5,76.5,,
78.3,current-0.4-speed-trial-4-90-up-start,0.4,90,76.5,76.5,,
79.4,current-0.4-speed-trial-4-90-up-end,0.4,90,1,1,,
21.1,CURRENT-0.4-AMPS_END,,,,,,
79.5,______________________,,,,,,
79.5,CURRENT-0.5-AMPS_START,,,,,,
79.5,current-0.5-speed-trial-0-50-down-start,0.5,50,1,1,,
81.3,current-0.5-speed-trial-0-50-down-end,0.5,50,76.5,76.5,,
81.3,current-0.5-speed-trial-0-50-up-start,0.5,50,76.5,76.5,,
83.1,current-0.5-speed-trial-0-50-up-end,0.5,50,1,1,,
83.3,current-0.5-speed-trial-1-50-down-start,0.5,50,1,1,,
85,current-0.5-speed-trial-1-50-down-end,0.5,50,76.5,76.5,,
85,current-0.5-speed-trial-1-50-up-start,0.5,50,76.5,76.5,,
86.8,current-0.5-speed-trial-1-50-up-end,0.5,50,1,1,,
87,current-0.5-speed-trial-2-50-down-start,0.5,50,1,1,,
88.8,current-0.5-speed-trial-2-50-down-end,0.5,50,76.5,76.5,,
88.8,current-0.5-speed-trial-2-50-up-start,0.5,50,76.5,76.5,,
90.5,current-0.5-speed-trial-2-50-up-end,0.5,50,1,1,,
90.7,current-0.5-speed-trial-3-50-down-start,0.5,50,1,1,,
92.5,current-0.5-speed-trial-3-50-down-end,0.5,50,76.5,76.5,,
92.5,current-0.5-speed-trial-3-50-up-start,0.5,50,76.5,76.5,,
94.3,current-0.5-speed-trial-3-50-up-end,0.5,50,1,1,,
94.4,current-0.5-speed-trial-4-50-down-start,0.5,50,1,1,,
96.2,current-0.5-speed-trial-4-50-down-end,0.5,50,76.5,76.5,,
96.2,current-0.5-speed-trial-4-50-up-start,0.5,50,76.5,76.5,,
98,current-0.5-speed-trial-4-50-up-end,0.5,50,1,1,,
98.2,current-0.5-speed-trial-0-70-down-start,0.5,70,1,1,,
99.6,current-0.5-speed-trial-0-70-down-end,0.5,70,76.5,76.5,,
99.6,current-0.5-speed-trial-0-70-up-start,0.5,70,76.5,76.5,,
100.9,current-0.5-speed-trial-0-70-up-end,0.5,70,1,1,,
101.1,current-0.5-speed-trial-1-70-down-start,0.5,70,1,1,,
102.5,current-0.5-speed-trial-1-70-down-end,0.5,70,76.5,76.5,,
102.5,current-0.5-speed-trial-1-70-up-start,0.5,70,76.5,76.5,,
103.8,current-0.5-speed-trial-1-70-up-end,0.5,70,1,1,,
104,current-0.5-speed-trial-2-70-down-start,0.5,70,1,1,,
105.3,current-0.5-speed-trial-2-70-down-end,0.5,70,76.5,76.5,,
105.3,current-0.5-speed-trial-2-70-up-start,0.5,70,76.5,76.5,,
106.7,current-0.5-speed-trial-2-70-up-end,0.5,70,1,1,,
106.9,current-0.5-speed-trial-3-70-down-start,0.5,70,1,1,,
108.2,current-0.5-speed-trial-3-70-down-end,0.5,70,76.5,76.5,,
108.2,current-0.5-speed-trial-3-70-up-start,0.5,70,76.5,76.5,,
109.6,current-0.5-speed-trial-3-70-up-end,0.5,70,1,1,,
109.7,current-0.5-speed-trial-4-70-down-start,0.5,70,1,1,,
111.1,current-0.5-speed-trial-4-70-down-end,0.5,70,76.5,76.5,,
111.1,current-0.5-speed-trial-4-70-up-start,0.5,70,76.5,76.5,,
112.5,current-0.5-speed-trial-4-70-up-end,0.5,70,1,1,,
112.7,current-0.5-speed-trial-0-80-down-start,0.5,80,1,1,,
113.9,current-0.5-speed-trial-0-80-down-end,0.5,80,76.5,76.5,,
113.9,current-0.5-speed-trial-0-80-up-start,0.5,80,76.5,76.5,,
115.1,current-0.5-speed-trial-0-80-up-end,0.5,80,1,1,,
115.3,current-0.5-speed-trial-1-80-down-start,0.5,80,1,1,,
116.5,current-0.5-speed-trial-1-80-down-end,0.5,80,76.5,76.5,,
116.5,current-0.5-speed-trial-1-80-up-start,0.5,80,76.5,76.5,,
117.7,current-0.5-speed-trial-1-80-up-end,0.5,80,1,1,,
117.9,current-0.5-speed-trial-2-80-down-start,0.5,80,1,1,,
119.1,current-0.5-speed-trial-2-80-down-end,0.5,80,76.5,76.5,,
119.2,current-0.5-speed-trial-2-80-up-start,0.5,80,76.5,76.5,,
120.4,current-0.5-speed-trial-2-80-up-end,0.5,80,1,1,,
120.5,current-0.5-speed-trial-3-80-down-start,0.5,80,1,1,,
121.8,current-0.5-speed-trial-3-80-down-end,0.5,80,76.5,76.5,,
121.8,current-0.5-speed-trial-3-80-up-start,0.5,80,76.5,76.5,,
123,current-0.5-speed-trial-3-80-up-end,0.5,80,1,1,,
123.2,current-0.5-speed-trial-4-80-down-start,0.5,80,1,1,,
124.4,current-0.5-speed-trial-4-80-down-end,0.5,80,76.5,76.5,,
124.4,current-0.5-speed-trial-4-80-up-start,0.5,80,76.5,76.5,,
125.6,current-0.5-speed-trial-4-80-up-end,0.5,80,1,1,,
125.8,current-0.5-speed-trial-0-90-down-start,0.5,90,1,1,,
126.9,current-0.5-speed-trial-0-90-down-end,0.5,90,76.5,76.5,,
126.9,current-0.5-speed-trial-0-90-up-start,0.5,90,76.5,76.5,,
128.1,current-0.5-speed-trial-0-90-up-end,0.5,90,1,1,,
128.3,current-0.5-speed-trial-1-90-down-start,0.5,90,1,1,,
129.4,current-0.5-speed-trial-1-90-down-end,0.5,90,76.5,76.5,,
129.4,current-0.5-speed-trial-1-90-up-start,0.5,90,76.5,76.5,,
130.6,current-0.5-speed-trial-1-90-up-end,0.5,90,1,1,,
130.8,current-0.5-speed-trial-2-90-down-start,0.5,90,1,1,,
131.9,current-0.5-speed-trial-2-90-down-end,0.5,90,76.5,76.5,,
131.9,current-0.5-speed-trial-2-90-up-start,0.5,90,76.5,76.5,,
133.1,current-0.5-speed-trial-2-90-up-end,0.5,90,1,1,,
133.3,current-0.5-speed-trial-3-90-down-start,0.5,90,1,1,,
134.4,current-0.5-speed-trial-3-90-down-end,0.5,90,76.5,76.5,,
134.4,current-0.5-speed-trial-3-90-up-start,0.5,90,76.5,76.5,,
135.5,current-0.5-speed-trial-3-90-up-end,0.5,90,1,1,,
135.7,current-0.5-speed-trial-4-90-down-start,0.5,90,1,1,,
136.8,current-0.5-speed-trial-4-90-down-end,0.5,90,76.5,76.5,,
136.9,current-0.5-speed-trial-4-90-up-start,0.5,90,76.5,76.5,,
138,current-0.5-speed-trial-4-90-up-end,0.5,90,1,1,,
79.5,CURRENT-0.5-AMPS_END,,,,,,
138.2,_______________________,,,,,,
138.2,CURRENT-0.75-AMPS_START,,,,,,
138.2,current-0.75-speed-trial-0-50-down-start,0.75,50,1,1,PASS,
140,current-0.75-speed-trial-0-50-down-end,0.75,50,76.5,76.5,PASS,
140,current-0.75-speed-trial-0-50-up-start,0.75,50,76.5,76.5,PASS,
141.8,current-0.75-speed-trial-0-50-up-end,0.75,50,1,1,PASS,
142,current-0.75-speed-trial-1-50-down-start,0.75,50,1,1,PASS,
143.8,current-0.75-speed-trial-1-50-down-end,0.75,50,76.5,76.5,PASS,
143.8,current-0.75-speed-trial-1-50-up-start,0.75,50,76.5,76.5,PASS,
145.5,current-0.75-speed-trial-1-50-up-end,0.75,50,1,1,PASS,
145.7,current-0.75-speed-trial-2-50-down-start,0.75,50,1,1,PASS,
147.5,current-0.75-speed-trial-2-50-down-end,0.75,50,76.5,76.5,PASS,
147.5,current-0.75-speed-trial-2-50-up-start,0.75,50,76.5,76.5,PASS,
149.3,current-0.75-speed-trial-2-50-up-end,0.75,50,1,1,PASS,
149.5,current-0.75-speed-trial-3-50-down-start,0.75,50,1,1,PASS,
151.3,current-0.75-speed-trial-3-50-down-end,0.75,50,76.5,76.5,PASS,
151.3,current-0.75-speed-trial-3-50-up-start,0.75,50,76.5,76.5,PASS,
153.1,current-0.75-speed-trial-3-50-up-end,0.75,50,1,1,PASS,
153.3,current-0.75-speed-trial-4-50-down-start,0.75,50,1,1,PASS,
155,current-0.75-speed-trial-4-50-down-end,0.75,50,76.5,76.5,PASS,
155.1,current-0.75-speed-trial-4-50-up-start,0.75,50,76.5,76.5,PASS,
156.8,current-0.75-speed-trial-4-50-up-end,0.75,50,1,1,PASS,
157,current-0.75-speed-trial-0-70-down-start,0.75,70,1,1,PASS,
158.3,current-0.75-speed-trial-0-70-down-end,0.75,70,76.5,76.5,PASS,
158.4,current-0.75-speed-trial-0-70-up-start,0.75,70,76.5,76.5,PASS,
159.7,current-0.75-speed-trial-0-70-up-end,0.75,70,1,1,PASS,
159.9,current-0.75-speed-trial-1-70-down-start,0.75,70,1,1,PASS,
161.2,current-0.75-speed-trial-1-70-down-end,0.75,70,76.5,76.5,PASS,
161.2,current-0.75-speed-trial-1-70-up-start,0.75,70,76.5,76.5,PASS,
162.5,current-0.75-speed-trial-1-70-up-end,0.75,70,1,1,PASS,
162.7,current-0.75-speed-trial-2-70-down-start,0.75,70,1,1,PASS,
164,current-0.75-speed-trial-2-70-down-end,0.75,70,76.5,76.5,PASS,
164.1,current-0.75-speed-trial-2-70-up-start,0.75,70,76.5,76.5,PASS,
165.4,current-0.75-speed-trial-2-70-up-end,0.75,70,1,1,PASS,
165.6,current-0.75-speed-trial-3-70-down-start,0.75,70,1,1,PASS,
167,current-0.75-speed-trial-3-70-down-end,0.75,70,76.5,76.5,PASS,
167,current-0.75-speed-trial-3-70-up-start,0.75,70,76.5,76.5,PASS,
168.3,current-0.75-speed-trial-3-70-up-end,0.75,70,1,1,PASS,
168.5,current-0.75-speed-trial-4-70-down-start,0.75,70,1,1,PASS,
169.9,current-0.75-speed-trial-4-70-down-end,0.75,70,76.5,76.5,PASS,
169.9,current-0.75-speed-trial-4-70-up-start,0.75,70,76.5,76.5,PASS,
171.2,current-0.75-speed-trial-4-70-up-end,0.75,70,1,1,PASS,
171.4,current-0.75-speed-trial-0-80-down-start,0.75,80,1,1,PASS,
172.7,current-0.75-speed-trial-0-80-down-end,0.75,80,76.5,76.5,PASS,
172.7,current-0.75-speed-trial-0-80-up-start,0.75,80,76.5,76.5,PASS,
173.9,current-0.75-speed-trial-0-80-up-end,0.75,80,1,1,PASS,
174.1,current-0.75-speed-trial-1-80-down-start,0.75,80,1,1,PASS,
175.3,current-0.75-speed-trial-1-80-down-end,0.75,80,76.5,76.5,PASS,
175.3,current-0.75-speed-trial-1-80-up-start,0.75,80,76.5,76.5,PASS,
176.5,current-0.75-speed-trial-1-80-up-end,0.75,80,1,1,PASS,
176.7,current-0.75-speed-trial-2-80-down-start,0.75,80,1,1,PASS,
177.9,current-0.75-speed-trial-2-80-down-end,0.75,80,76.5,76.5,PASS,
177.9,current-0.75-speed-trial-2-80-up-start,0.75,80,76.5,76.5,PASS,
179.1,current-0.75-speed-trial-2-80-up-end,0.75,80,1,1,PASS,
179.3,current-0.75-speed-trial-3-80-down-start,0.75,80,1,1,PASS,
180.5,current-0.75-speed-trial-3-80-down-end,0.75,80,76.5,76.5,PASS,
180.5,current-0.75-speed-trial-3-80-up-start,0.75,80,76.5,76.5,PASS,
181.7,current-0.75-speed-trial-3-80-up-end,0.75,80,1,1,PASS,
181.9,current-0.75-speed-trial-4-80-down-start,0.75,80,1,1,PASS,
183.1,current-0.75-speed-trial-4-80-down-end,0.75,80,76.5,76.5,PASS,
