copy,copy,copy,copy
0,_______________,,
0,META_DATA_START,,
0,test_name,gravimetric-ot3-p1000-multi,
0.2,test_tag,P1KMV3520260602M01-qc,
0.1,test_run_id,run-26-06-06-17-02-47,
1.6,test_device_id,P1KMV3520260602M01-qc,
1.4,test_robot_id,GRAV11,
0.2,test_time_utc,2026/06/06-17:03:10,
0.5,test_operator,Haiyan,
0.7,test_version,mp.robot_23.11.28_senser_1_ge84a857923-e84a857923,
1,firmware,43,55
0,META_DATA_END,,
24563.8,______________________,,
24563.8,RESULTS_OVERVIEW_START,,
24563.8,RESULT_META_DATA,None,
24563.8,RESULT_SERIAL-NUMBERS,None,
24563.8,RESULT_CONFIG,None,
24563.8,RESULT_VOLUMES,None,
24563.8,RESULT_TRIALS,None,
24563.8,RESULT_EVAPORATION,None,
24563.8,RESULT_ENVIRONMENT,None,
24563.9,RESULT_MEASUREMENTS,None,
24563.9,RESULT_ENCODER,None,
24563.8,RESULTS_OVERVIEW_END,,
1.9,____________________,,
1.9,SERIAL-NUMBERS_START,,
1.9,robot,GRAV11,
2.1,pipette,P1KMV3520260602M01-qc,
2.4,tips_50ul,A20260227-O,
None,tips_200ul,None,
2.7,tips_1000ul,B20241126,
2.9,scale,586332,
3.2,environment,022500c2,
3.4,liquid,None,
1.9,SERIAL-NUMBERS_END,,
11992.7,____________,,
11992.7,CONFIG_START,,
11992.7,name,gravimetric-ot3-p1000-multi,
11993.1,pipette_volume,1000,
11993.4,pipette_channels,8,
11993.7,pipette_mount,left,
11994.1,tip_volume,1000,
11994.4,trials,10,
11994.7,increment,FALSE,
11995.1,return_tip,FALSE,
11995.4,mix,FALSE,
11995.7,user_volumes,FALSE,
11996,kind,ConfigType.gravimetric,
11996.4,extra,FALSE,
11996.7,jog,FALSE,
11997,same_tip,FALSE,
11997.4,ignore_fail,TRUE,
11997.7,mode,,
11998,labware_on_scale,radwag_pipette_calibration_vial,
11998.3,slot_scale,4,
11998.7,blank,TRUE,
11999,gantry_speed,40,
11999.3,scale_delay,10,
11999.6,isolate_channels,,
12000,isolate_volumes,,
11992.7,CONFIG_END,,
0.2,_____________,,
0.2,VOLUMES_START,,
11990.3,volume-aspirate-5.0-channel_all-average,5.4,
11990.6,volume-aspirate-5.0-channel_all-cv,1.77,
11990.9,volume-aspirate-5.0-channel_all-d,8.05,
0.2,volume-aspirate-5.0-channel_all-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-channel_all-humidity-pipette-avg,None,
11991.3,volume-dispense-5.0-channel_all-average,5.22,
11991.6,volume-dispense-5.0-channel_all-cv,1.83,
11991.9,volume-dispense-5.0-channel_all-d,4.47,
0.2,volume-dispense-5.0-channel_all-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-channel_all-humidity-pipette-avg,None,
2456.5,volume-aspirate-5.0-channel_1-average,5.37,
2456.8,volume-aspirate-5.0-channel_1-cv,1.23,
2457.1,volume-aspirate-5.0-channel_1-d,7.47,
2457.4,volume-aspirate-5.0-channel_1-celsius-pipette-avg,22.83,
2457.7,volume-aspirate-5.0-channel_1-humidity-pipette-avg,46.66,
2458,volume-dispense-5.0-channel_1-average,5.19,
2458.2,volume-dispense-5.0-channel_1-cv,1.2,
2458.5,volume-dispense-5.0-channel_1-d,3.7,
2458.8,volume-dispense-5.0-channel_1-celsius-pipette-avg,22.82,
2459.1,volume-dispense-5.0-channel_1-humidity-pipette-avg,46.74,
3814.7,volume-aspirate-5.0-channel_2-average,5.44,
3815,volume-aspirate-5.0-channel_2-cv,1.85,
3815.3,volume-aspirate-5.0-channel_2-d,8.77,
3815.6,volume-aspirate-5.0-channel_2-celsius-pipette-avg,23.3,
3815.9,volume-aspirate-5.0-channel_2-humidity-pipette-avg,44.87,
3816.2,volume-dispense-5.0-channel_2-average,5.28,
3816.5,volume-dispense-5.0-channel_2-cv,1.41,
3816.8,volume-dispense-5.0-channel_2-d,5.56,
3817,volume-dispense-5.0-channel_2-celsius-pipette-avg,23.29,
3817.3,volume-dispense-5.0-channel_2-humidity-pipette-avg,44.97,
5173.7,volume-aspirate-5.0-channel_3-average,5.45,
5174,volume-aspirate-5.0-channel_3-cv,1.44,
5174.3,volume-aspirate-5.0-channel_3-d,8.91,
5174.6,volume-aspirate-5.0-channel_3-celsius-pipette-avg,23.62,
5174.9,volume-aspirate-5.0-channel_3-humidity-pipette-avg,43.86,
5175.1,volume-dispense-5.0-channel_3-average,5.27,
5175.4,volume-dispense-5.0-channel_3-cv,2.16,
5175.7,volume-dispense-5.0-channel_3-d,5.46,
5176,volume-dispense-5.0-channel_3-celsius-pipette-avg,23.62,
5176.3,volume-dispense-5.0-channel_3-humidity-pipette-avg,43.96,
6531.9,volume-aspirate-5.0-channel_4-average,5.49,
6532.2,volume-aspirate-5.0-channel_4-cv,1.83,
6532.5,volume-aspirate-5.0-channel_4-d,9.8,
6532.8,volume-aspirate-5.0-channel_4-celsius-pipette-avg,23.84,
6533.1,volume-aspirate-5.0-channel_4-humidity-pipette-avg,43.16,
6533.4,volume-dispense-5.0-channel_4-average,5.32,
6533.7,volume-dispense-5.0-channel_4-cv,1.95,
6534,volume-dispense-5.0-channel_4-d,6.3,
6534.3,volume-dispense-5.0-channel_4-celsius-pipette-avg,23.84,
6534.6,volume-dispense-5.0-channel_4-humidity-pipette-avg,43.15,
11967.2,volume-aspirate-5.0-channel_5-average,5.36,
11967.5,volume-aspirate-5.0-channel_5-cv,1.44,
11967.8,volume-aspirate-5.0-channel_5-d,7.2,
11968.2,volume-aspirate-5.0-channel_5-celsius-pipette-avg,24.19,
11968.5,volume-aspirate-5.0-channel_5-humidity-pipette-avg,41.93,
11968.8,volume-dispense-5.0-channel_5-average,5.18,
11969.2,volume-dispense-5.0-channel_5-cv,1.34,
11969.5,volume-dispense-5.0-channel_5-d,3.53,
11969.8,volume-dispense-5.0-channel_5-celsius-pipette-avg,24.19,
11970.2,volume-dispense-5.0-channel_5-humidity-pipette-avg,41.95,
10594.4,volume-aspirate-5.0-channel_6-average,5.34,
10594.7,volume-aspirate-5.0-channel_6-cv,1.88,
10595,volume-aspirate-5.0-channel_6-d,6.83,
10595.3,volume-aspirate-5.0-channel_6-celsius-pipette-avg,24.15,
10595.7,volume-aspirate-5.0-channel_6-humidity-pipette-avg,41.88,
10596,volume-dispense-5.0-channel_6-average,5.16,
10596.3,volume-dispense-5.0-channel_6-cv,1.38,
10596.6,volume-dispense-5.0-channel_6-d,3.18,
10596.9,volume-dispense-5.0-channel_6-celsius-pipette-avg,24.15,
10597.3,volume-dispense-5.0-channel_6-humidity-pipette-avg,41.98,
9230.3,volume-aspirate-5.0-channel_7-average,5.42,
9230.6,volume-aspirate-5.0-channel_7-cv,1.35,
9230.9,volume-aspirate-5.0-channel_7-d,8.37,
9231.2,volume-aspirate-5.0-channel_7-celsius-pipette-avg,24.1,
9231.5,volume-aspirate-5.0-channel_7-humidity-pipette-avg,42.08,
9231.9,volume-dispense-5.0-channel_7-average,5.24,
9232.2,volume-dispense-5.0-channel_7-cv,1.51,
9232.5,volume-dispense-5.0-channel_7-d,4.81,
9232.8,volume-dispense-5.0-channel_7-celsius-pipette-avg,24.1,
9233.1,volume-dispense-5.0-channel_7-humidity-pipette-avg,42.11,
7876.6,volume-aspirate-5.0-channel_8-average,5.35,
7876.9,volume-aspirate-5.0-channel_8-cv,1.5,
7877.2,volume-aspirate-5.0-channel_8-d,7.06,
7877.5,volume-aspirate-5.0-channel_8-celsius-pipette-avg,24.01,
7877.8,volume-aspirate-5.0-channel_8-humidity-pipette-avg,42.7,
7878.1,volume-dispense-5.0-channel_8-average,5.16,
7878.4,volume-dispense-5.0-channel_8-cv,0.83,
7878.7,volume-dispense-5.0-channel_8-d,3.17,
7879.1,volume-dispense-5.0-channel_8-celsius-pipette-avg,24,
7879.4,volume-dispense-5.0-channel_8-humidity-pipette-avg,42.65,
11970.5,volume-aspirate-5.0-trial_1-average,5.42,
11970.8,volume-aspirate-5.0-trial_1-cv,1.25,
11971.2,volume-aspirate-5.0-trial_1-d,8.46,
0.2,volume-aspirate-5.0-trial_1-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_1-humidity-pipette-avg,None,
11971.5,volume-dispense-5.0-trial_1-average,5.2,
11971.8,volume-dispense-5.0-trial_1-cv,1.65,
11972.1,volume-dispense-5.0-trial_1-d,4.02,
0.2,volume-dispense-5.0-trial_1-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_1-humidity-pipette-avg,None,
11972.5,volume-aspirate-5.0-trial_2-average,5.43,
11972.8,volume-aspirate-5.0-trial_2-cv,2.34,
11973.1,volume-aspirate-5.0-trial_2-d,8.59,
0.2,volume-aspirate-5.0-trial_2-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_2-humidity-pipette-avg,None,
11973.5,volume-dispense-5.0-trial_2-average,5.26,
11973.8,volume-dispense-5.0-trial_2-cv,2.01,
11974.1,volume-dispense-5.0-trial_2-d,5.21,
0.2,volume-dispense-5.0-trial_2-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_2-humidity-pipette-avg,None,
11974.4,volume-aspirate-5.0-trial_3-average,5.38,
11974.8,volume-aspirate-5.0-trial_3-cv,2,
11975.1,volume-aspirate-5.0-trial_3-d,7.58,
0.2,volume-aspirate-5.0-trial_3-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_3-humidity-pipette-avg,None,
11975.4,volume-dispense-5.0-trial_3-average,5.2,
11975.8,volume-dispense-5.0-trial_3-cv,2.33,
11976.1,volume-dispense-5.0-trial_3-d,4.02,
0.2,volume-dispense-5.0-trial_3-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_3-humidity-pipette-avg,None,
11976.4,volume-aspirate-5.0-trial_4-average,5.39,
11976.8,volume-aspirate-5.0-trial_4-cv,1.91,
11977.1,volume-aspirate-5.0-trial_4-d,7.84,
0.2,volume-aspirate-5.0-trial_4-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_4-humidity-pipette-avg,None,
11977.4,volume-dispense-5.0-trial_4-average,5.24,
11977.8,volume-dispense-5.0-trial_4-cv,1.94,
11978.1,volume-dispense-5.0-trial_4-d,4.73,
0.2,volume-dispense-5.0-trial_4-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_4-humidity-pipette-avg,None,
11978.4,volume-aspirate-5.0-trial_5-average,5.4,
11978.7,volume-aspirate-5.0-trial_5-cv,1.52,
11979.1,volume-aspirate-5.0-trial_5-d,8.09,
0.2,volume-aspirate-5.0-trial_5-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_5-humidity-pipette-avg,None,
11979.4,volume-dispense-5.0-trial_5-average,5.24,
11979.7,volume-dispense-5.0-trial_5-cv,1.47,
11980,volume-dispense-5.0-trial_5-d,4.89,
0.2,volume-dispense-5.0-trial_5-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_5-humidity-pipette-avg,None,
11980.4,volume-aspirate-5.0-trial_6-average,5.41,
11980.7,volume-aspirate-5.0-trial_6-cv,0.96,
11981,volume-aspirate-5.0-trial_6-d,8.17,
0.2,volume-aspirate-5.0-trial_6-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_6-humidity-pipette-avg,None,
11981.3,volume-dispense-5.0-trial_6-average,5.2,
11981.7,volume-dispense-5.0-trial_6-cv,1.32,
11982,volume-dispense-5.0-trial_6-d,3.91,
0.2,volume-dispense-5.0-trial_6-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_6-humidity-pipette-avg,None,
11982.4,volume-aspirate-5.0-trial_7-average,5.39,
11982.7,volume-aspirate-5.0-trial_7-cv,1.55,
11983,volume-aspirate-5.0-trial_7-d,7.74,
0.2,volume-aspirate-5.0-trial_7-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_7-humidity-pipette-avg,None,
11983.4,volume-dispense-5.0-trial_7-average,5.22,
11983.7,volume-dispense-5.0-trial_7-cv,2.68,
11984,volume-dispense-5.0-trial_7-d,4.4,
0.2,volume-dispense-5.0-trial_7-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_7-humidity-pipette-avg,None,
11984.3,volume-aspirate-5.0-trial_8-average,5.43,
11984.7,volume-aspirate-5.0-trial_8-cv,2.87,
11985,volume-aspirate-5.0-trial_8-d,8.67,
0.2,volume-aspirate-5.0-trial_8-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_8-humidity-pipette-avg,None,
11985.4,volume-dispense-5.0-trial_8-average,5.25,
11985.7,volume-dispense-5.0-trial_8-cv,1.92,
11986,volume-dispense-5.0-trial_8-d,4.93,
0.2,volume-dispense-5.0-trial_8-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_8-humidity-pipette-avg,None,
11986.3,volume-aspirate-5.0-trial_9-average,5.38,
11986.7,volume-aspirate-5.0-trial_9-cv,1.94,
11987,volume-aspirate-5.0-trial_9-d,7.67,
0.2,volume-aspirate-5.0-trial_9-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_9-humidity-pipette-avg,None,
11987.3,volume-dispense-5.0-trial_9-average,5.2,
11987.6,volume-dispense-5.0-trial_9-cv,1.69,
11988,volume-dispense-5.0-trial_9-d,3.93,
0.2,volume-dispense-5.0-trial_9-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_9-humidity-pipette-avg,None,
11988.3,volume-aspirate-5.0-trial_10-average,5.38,
11988.6,volume-aspirate-5.0-trial_10-cv,1.31,
11989,volume-aspirate-5.0-trial_10-d,7.69,
0.2,volume-aspirate-5.0-trial_10-celsius-pipette-avg,None,
0.2,volume-aspirate-5.0-trial_10-humidity-pipette-avg,None,
11989.3,volume-dispense-5.0-trial_10-average,5.23,
11989.6,volume-dispense-5.0-trial_10-cv,1.43,
11990,volume-dispense-5.0-trial_10-d,4.62,
0.2,volume-dispense-5.0-trial_10-celsius-pipette-avg,None,
0.2,volume-dispense-5.0-trial_10-humidity-pipette-avg,None,
24561.8,volume-aspirate-1000.0-channel_all-average,998.05,
24562.2,volume-aspirate-1000.0-channel_all-cv,0.07,
24562.6,volume-aspirate-1000.0-channel_all-d,-0.2,
0.2,volume-aspirate-1000.0-channel_all-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-channel_all-humidity-pipette-avg,None,
24563,volume-dispense-1000.0-channel_all-average,997.8,
24563.4,volume-dispense-1000.0-channel_all-cv,0.07,
24563.8,volume-dispense-1000.0-channel_all-d,-0.22,
0.2,volume-dispense-1000.0-channel_all-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-channel_all-humidity-pipette-avg,None,
14574,volume-aspirate-1000.0-channel_1-average,996.59,
14574.3,volume-aspirate-1000.0-channel_1-cv,0.01,
14574.7,volume-aspirate-1000.0-channel_1-d,-0.34,
14575,volume-aspirate-1000.0-channel_1-celsius-pipette-avg,24.3,
14575.3,volume-aspirate-1000.0-channel_1-humidity-pipette-avg,41.46,
14575.7,volume-dispense-1000.0-channel_1-average,996.33,
14576,volume-dispense-1000.0-channel_1-cv,0.01,
14576.4,volume-dispense-1000.0-channel_1-d,-0.37,
14576.7,volume-dispense-1000.0-channel_1-celsius-pipette-avg,24.31,
14577,volume-dispense-1000.0-channel_1-humidity-pipette-avg,41.52,
16009.4,volume-aspirate-1000.0-channel_2-average,997.89,
16009.7,volume-aspirate-1000.0-channel_2-cv,0.02,
16010.1,volume-aspirate-1000.0-channel_2-d,-0.21,
16010.4,volume-aspirate-1000.0-channel_2-celsius-pipette-avg,24.29,
16010.7,volume-aspirate-1000.0-channel_2-humidity-pipette-avg,41.4,
16011.1,volume-dispense-1000.0-channel_2-average,997.68,
16011.4,volume-dispense-1000.0-channel_2-cv,0.02,
16011.8,volume-dispense-1000.0-channel_2-d,-0.23,
16012.1,volume-dispense-1000.0-channel_2-celsius-pipette-avg,24.3,
16012.5,volume-dispense-1000.0-channel_2-humidity-pipette-avg,41.46,
17445.5,volume-aspirate-1000.0-channel_3-average,997.73,
17445.9,volume-aspirate-1000.0-channel_3-cv,0.02,
17446.2,volume-aspirate-1000.0-channel_3-d,-0.23,
17446.6,volume-aspirate-1000.0-channel_3-celsius-pipette-avg,24.32,
17446.9,volume-aspirate-1000.0-channel_3-humidity-pipette-avg,41.27,
17447.3,volume-dispense-1000.0-channel_3-average,997.41,
17447.6,volume-dispense-1000.0-channel_3-cv,0.02,
17448,volume-dispense-1000.0-channel_3-d,-0.26,
17448.3,volume-dispense-1000.0-channel_3-celsius-pipette-avg,24.31,
17448.7,volume-dispense-1000.0-channel_3-humidity-pipette-avg,41.29,
18880.1,volume-aspirate-1000.0-channel_4-average,998.54,
18880.5,volume-aspirate-1000.0-channel_4-cv,0.01,
18880.8,volume-aspirate-1000.0-channel_4-d,-0.15,
18881.2,volume-aspirate-1000.0-channel_4-celsius-pipette-avg,24.32,
18881.6,volume-aspirate-1000.0-channel_4-humidity-pipette-avg,41.24,
18881.9,volume-dispense-1000.0-channel_4-average,998.35,
18882.3,volume-dispense-1000.0-channel_4-cv,0.01,
18882.6,volume-dispense-1000.0-channel_4-d,-0.17,
18883,volume-dispense-1000.0-channel_4-celsius-pipette-avg,24.33,
18883.4,volume-dispense-1000.0-channel_4-humidity-pipette-avg,41.22,
24534.6,volume-aspirate-1000.0-channel_5-average,998.09,
24535,volume-aspirate-1000.0-channel_5-cv,0.01,
24535.4,volume-aspirate-1000.0-channel_5-d,-0.19,
24535.8,volume-aspirate-1000.0-channel_5-celsius-pipette-avg,24.39,
24536.2,volume-aspirate-1000.0-channel_5-humidity-pipette-avg,40.84,
24536.5,volume-dispense-1000.0-channel_5-average,997.87,
24536.9,volume-dispense-1000.0-channel_5-cv,0.02,
24537.3,volume-dispense-1000.0-channel_5-d,-0.21,
24537.7,volume-dispense-1000.0-channel_5-celsius-pipette-avg,24.4,
24538.1,volume-dispense-1000.0-channel_5-humidity-pipette-avg,40.96,
23099.7,volume-aspirate-1000.0-channel_6-average,998.13,
23100.1,volume-aspirate-1000.0-channel_6-cv,0.01,
23100.5,volume-aspirate-1000.0-channel_6-d,-0.19,
23100.8,volume-aspirate-1000.0-channel_6-celsius-pipette-avg,24.4,
23101.2,volume-aspirate-1000.0-channel_6-humidity-pipette-avg,41.06,
23101.6,volume-dispense-1000.0-channel_6-average,997.84,
23102,volume-dispense-1000.0-channel_6-cv,0.02,
23102.3,volume-dispense-1000.0-channel_6-d,-0.22,
23102.7,volume-dispense-1000.0-channel_6-celsius-pipette-avg,24.41,
23103.1,volume-dispense-1000.0-channel_6-humidity-pipette-avg,40.97,
21680.2,volume-aspirate-1000.0-channel_7-average,998.7,
21680.6,volume-aspirate-1000.0-channel_7-cv,0.02,
21681,volume-aspirate-1000.0-channel_7-d,-0.13,
21681.3,volume-aspirate-1000.0-channel_7-celsius-pipette-avg,24.4,
21681.7,volume-aspirate-1000.0-channel_7-humidity-pipette-avg,41.02,
21682.1,volume-dispense-1000.0-channel_7-average,998.44,
21682.5,volume-dispense-1000.0-channel_7-cv,0.02,
21682.8,volume-dispense-1000.0-channel_7-d,-0.16,
21683.2,volume-dispense-1000.0-channel_7-celsius-pipette-avg,24.4,
21683.6,volume-dispense-1000.0-channel_7-humidity-pipette-avg,40.97,
20273.9,volume-aspirate-1000.0-channel_8-average,998.7,
20274.3,volume-aspirate-1000.0-channel_8-cv,0.02,
20274.6,volume-aspirate-1000.0-channel_8-d,-0.13,
20275,volume-aspirate-1000.0-channel_8-celsius-pipette-avg,24.37,
20275.3,volume-aspirate-1000.0-channel_8-humidity-pipette-avg,41.3,
20275.7,volume-dispense-1000.0-channel_8-average,998.46,
20276.1,volume-dispense-1000.0-channel_8-cv,0.02,
20276.4,volume-dispense-1000.0-channel_8-d,-0.15,
20276.8,volume-dispense-1000.0-channel_8-celsius-pipette-avg,24.37,
20277.2,volume-dispense-1000.0-channel_8-humidity-pipette-avg,41.31,
24538.5,volume-aspirate-1000.0-trial_1-average,998.08,
24538.9,volume-aspirate-1000.0-trial_1-cv,0.07,
24539.3,volume-aspirate-1000.0-trial_1-d,-0.19,
0.2,volume-aspirate-1000.0-trial_1-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_1-humidity-pipette-avg,None,
24539.7,volume-dispense-1000.0-trial_1-average,997.8,
24540.1,volume-dispense-1000.0-trial_1-cv,0.07,
24540.5,volume-dispense-1000.0-trial_1-d,-0.22,
0.2,volume-dispense-1000.0-trial_1-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_1-humidity-pipette-avg,None,
24540.9,volume-aspirate-1000.0-trial_2-average,998.1,
24541.2,volume-aspirate-1000.0-trial_2-cv,0.09,
24541.6,volume-aspirate-1000.0-trial_2-d,-0.19,
0.2,volume-aspirate-1000.0-trial_2-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_2-humidity-pipette-avg,None,
24542,volume-dispense-1000.0-trial_2-average,997.88,
24542.4,volume-dispense-1000.0-trial_2-cv,0.08,
24542.8,volume-dispense-1000.0-trial_2-d,-0.21,
0.2,volume-dispense-1000.0-trial_2-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_2-humidity-pipette-avg,None,
24543.2,volume-aspirate-1000.0-trial_3-average,998.02,
24543.5,volume-aspirate-1000.0-trial_3-cv,0.08,
24543.9,volume-aspirate-1000.0-trial_3-d,-0.2,
0.2,volume-aspirate-1000.0-trial_3-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_3-humidity-pipette-avg,None,
24544.3,volume-dispense-1000.0-trial_3-average,997.72,
24544.7,volume-dispense-1000.0-trial_3-cv,0.07,
24545.1,volume-dispense-1000.0-trial_3-d,-0.23,
0.2,volume-dispense-1000.0-trial_3-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_3-humidity-pipette-avg,None,
24545.5,volume-aspirate-1000.0-trial_4-average,998.06,
24545.9,volume-aspirate-1000.0-trial_4-cv,0.07,
24546.3,volume-aspirate-1000.0-trial_4-d,-0.19,
0.2,volume-aspirate-1000.0-trial_4-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_4-humidity-pipette-avg,None,
24546.7,volume-dispense-1000.0-trial_4-average,997.82,
24547,volume-dispense-1000.0-trial_4-cv,0.07,
24547.4,volume-dispense-1000.0-trial_4-d,-0.22,
0.2,volume-dispense-1000.0-trial_4-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_4-humidity-pipette-avg,None,
24547.8,volume-aspirate-1000.0-trial_5-average,998.05,
24548.2,volume-aspirate-1000.0-trial_5-cv,0.07,
24548.6,volume-aspirate-1000.0-trial_5-d,-0.19,
0.2,volume-aspirate-1000.0-trial_5-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_5-humidity-pipette-avg,None,
24549,volume-dispense-1000.0-trial_5-average,997.87,
24549.4,volume-dispense-1000.0-trial_5-cv,0.08,
24549.8,volume-dispense-1000.0-trial_5-d,-0.21,
0.2,volume-dispense-1000.0-trial_5-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_5-humidity-pipette-avg,None,
24550.2,volume-aspirate-1000.0-trial_6-average,998.1,
24550.6,volume-aspirate-1000.0-trial_6-cv,0.07,
24551,volume-aspirate-1000.0-trial_6-d,-0.19,
0.2,volume-aspirate-1000.0-trial_6-celsius-pipette-avg,None,
0.2,volume-aspirate-1000.0-trial_6-humidity-pipette-avg,None,
24551.4,volume-dispense-1000.0-trial_6-average,997.77,
24551.8,volume-dispense-1000.0-trial_6-cv,0.07,
24552.1,volume-dispense-1000.0-trial_6-d,-0.22,
0.2,volume-dispense-1000.0-trial_6-celsius-pipette-avg,None,
0.2,volume-dispense-1000.0-trial_6-humidity-pipette-avg,None,
24552.5,volume-aspirate-1000.0-trial_7-average,998,
24552.9,volume-aspirate-1000.0-trial_7-cv,0.08,
24553.3,volume-aspirate-1000.0-trial_7-d,-0.2,
0.2,volume-aspirate-1000.0-trial_7-celsius-pipette-avg,None,
