copy,copy,copy,copy,copy,copy,copy,copy
0.2,_______________
0.2,META_DATA_START
0.2,test_name,peek-burn-in-qc-ot3-recorder
3.2,test_tag,P1KMV3520260122A08-recorder
0.9,test_run_id,run-26-05-25-06-31-35
4.0,test_device_id,P1KMV3520260122A08,P1KMV3520260122A08,PASS
4.7,test_robot_id,
1.7,test_time_utc,2026/05/25-06:31:38
2.4,test_operator,operator,PASS
6.2,test_version,v8.3.0_104_gad948da539-ad948da539
5.5,firmware,33, 60
0.2,META_DATA_END
161045.9,______________________
161045.9,RESULTS_OVERVIEW_START
161045.9,RESULT_META_DATA,PASS
161045.9,RESULT_CYCLE-0-CURRENT-0.4-AMPS,PASS
161045.9,RESULT_CYCLE-0-CURRENT-0.45-AMPS,PASS
161045.9,RESULT_CYCLE-0-CURRENT-0.5-AMPS,PASS
161045.9,RESULT_CYCLE-0-CURRENT-0.55-AMPS,PASS
161045.9,RESULT_CYCLE-0-CURRENT-0.6-AMPS,PASS
161045.9,RESULT_CYCLE-0-CURRENT-1-AMPS,PASS
161045.9,RESULT_CYCLE-500-CURRENT-0.4-AMPS,PASS
161045.9,RESULT_CYCLE-500-CURRENT-0.45-AMPS,PASS
161045.9,RESULT_CYCLE-500-CURRENT-0.5-AMPS,PASS
161045.9,RESULT_CYCLE-500-CURRENT-0.55-AMPS,PASS
161045.9,RESULT_CYCLE-500-CURRENT-0.6-AMPS,PASS
161045.9,RESULT_CYCLE-500-CURRENT-1-AMPS,PASS
161045.9,RESULT_CYCLE-1000-CURRENT-0.4-AMPS,PASS
161045.9,RESULT_CYCLE-1000-CURRENT-0.45-AMPS,PASS
161045.9,RESULT_CYCLE-1000-CURRENT-0.5-AMPS,PASS
161045.9,RESULT_CYCLE-1000-CURRENT-0.55-AMPS,PASS
161045.9,RESULT_CYCLE-1000-CURRENT-0.6-AMPS,PASS
161045.9,RESULT_CYCLE-1000-CURRENT-1-AMPS,PASS
161046.0,RESULT_CYCLE-1500-CURRENT-0.4-AMPS,FAIL
161046.0,RESULT_CYCLE-1500-CURRENT-0.45-AMPS,PASS
161046.0,RESULT_CYCLE-1500-CURRENT-0.5-AMPS,PASS
161046.0,RESULT_CYCLE-1500-CURRENT-0.55-AMPS,PASS
