copy,copy,copy,copy
0,_______________,,
0,META_DATA_START,,
0,test_name,gravimetric-ot3-p50-multi-50ul-tip,
0.2,test_tag,P50MV3520260425A03-qc,
0.1,test_run_id,run-26-06-03-17-24-06,
1.6,test_device_id,P50MV3520260425A03-qc,
1.4,test_robot_id,GRAV7,
0.2,test_time_utc,2026/06/03-17:24:17,
0.5,test_operator,Haiyan,
0.7,test_version,mp.robot_23.11.28_senser_2_g868155cca5-868155cca5,
1,firmware,43,
0,META_DATA_END,,
29112.8,______________________,,
29112.8,RESULTS_OVERVIEW_START,,
29112.8,RESULT_META_DATA,None,
29112.8,RESULT_SERIAL-NUMBERS,None,
29112.8,RESULT_CONFIG,None,
29112.8,RESULT_VOLUMES,None,
29112.8,RESULT_TRIALS,None,
29112.8,RESULT_EVAPORATION,None,
29112.8,RESULT_ENVIRONMENT,None,
29112.9,RESULT_MEASUREMENTS,None,
29112.9,RESULT_ENCODER,None,
29112.8,RESULTS_OVERVIEW_END,,
1.9,____________________,,
1.9,SERIAL-NUMBERS_START,,
1.9,robot,GRAV7,
2.1,pipette,P50MV3520260425A03-qc,
2.4,tips_50ul,A20260227-N,
None,tips_200ul,None,
None,tips_1000ul,None,
2.7,scale,634559,
2.9,environment,021200c0,
3.2,liquid,None,
1.9,SERIAL-NUMBERS_END,,
2449.9,____________,,
2449.9,CONFIG_START,,
2449.9,name,gravimetric-ot3-p50-multi-50ul-tip,
2450.2,pipette_volume,50,
2450.4,pipette_channels,8,
2450.7,pipette_mount,left,
2450.9,tip_volume,50,
2451.2,trials,10,
2451.5,increment,FALSE,
2451.7,return_tip,FALSE,
2452,mix,FALSE,
2452.2,user_volumes,FALSE,
2452.5,kind,ConfigType.gravimetric,
2452.7,extra,FALSE,
2453,jog,TRUE,
2453.3,same_tip,FALSE,
2453.5,ignore_fail,TRUE,
2453.8,mode,,
2454,labware_on_scale,radwag_pipette_calibration_vial,
2454.3,slot_scale,4,
2454.5,blank,TRUE,
2454.8,gantry_speed,40,
2455,scale_delay,10,
2455.3,isolate_channels,,
2455.5,isolate_volumes,,
2449.9,CONFIG_END,,
0.2,_____________,,
0.2,VOLUMES_START,,
17085.4,volume-aspirate-1.0-channel_all-average,1.12,
17085.8,volume-aspirate-1.0-channel_all-cv,1.85,
17086.1,volume-aspirate-1.0-channel_all-d,12.2,
0.2,volume-aspirate-1.0-channel_all-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-channel_all-humidity-pipette-avg,None,
17086.4,volume-dispense-1.0-channel_all-average,1.05,
17086.8,volume-dispense-1.0-channel_all-cv,2.53,
17087.1,volume-dispense-1.0-channel_all-d,5.48,
0.2,volume-dispense-1.0-channel_all-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-channel_all-humidity-pipette-avg,None,
7187.1,volume-aspirate-1.0-channel_1-average,1.14,
7187.4,volume-aspirate-1.0-channel_1-cv,0.58,
7187.6,volume-aspirate-1.0-channel_1-d,14.28,
7187.9,volume-aspirate-1.0-channel_1-celsius-pipette-avg,24.74,
7188.2,volume-aspirate-1.0-channel_1-humidity-pipette-avg,42.48,
7188.5,volume-dispense-1.0-channel_1-average,1.04,
7188.8,volume-dispense-1.0-channel_1-cv,0.79,
7189.1,volume-dispense-1.0-channel_1-d,4.3,
7189.4,volume-dispense-1.0-channel_1-celsius-pipette-avg,24.74,
7189.6,volume-dispense-1.0-channel_1-humidity-pipette-avg,42.52,
8595.9,volume-aspirate-1.0-channel_2-average,1.15,
8596.1,volume-aspirate-1.0-channel_2-cv,0.71,
8596.4,volume-aspirate-1.0-channel_2-d,14.74,
8596.7,volume-aspirate-1.0-channel_2-celsius-pipette-avg,24.82,
8597,volume-aspirate-1.0-channel_2-humidity-pipette-avg,42.37,
8597.3,volume-dispense-1.0-channel_2-average,1.05,
8597.6,volume-dispense-1.0-channel_2-cv,2.14,
8597.9,volume-dispense-1.0-channel_2-d,5.09,
8598.2,volume-dispense-1.0-channel_2-celsius-pipette-avg,24.83,
8598.5,volume-dispense-1.0-channel_2-humidity-pipette-avg,42.43,
10006.4,volume-aspirate-1.0-channel_3-average,1.14,
10006.7,volume-aspirate-1.0-channel_3-cv,0.86,
10007,volume-aspirate-1.0-channel_3-d,14.43,
10007.3,volume-aspirate-1.0-channel_3-celsius-pipette-avg,24.94,
10007.6,volume-aspirate-1.0-channel_3-humidity-pipette-avg,41.88,
10007.9,volume-dispense-1.0-channel_3-average,1.06,
10008.2,volume-dispense-1.0-channel_3-cv,2.63,
10008.5,volume-dispense-1.0-channel_3-d,5.85,
10008.8,volume-dispense-1.0-channel_3-celsius-pipette-avg,24.93,
10009.1,volume-dispense-1.0-channel_3-humidity-pipette-avg,41.94,
11415,volume-aspirate-1.0-channel_4-average,1.11,
11415.3,volume-aspirate-1.0-channel_4-cv,1.22,
11415.6,volume-aspirate-1.0-channel_4-d,11.39,
11415.9,volume-aspirate-1.0-channel_4-celsius-pipette-avg,25.05,
11416.2,volume-aspirate-1.0-channel_4-humidity-pipette-avg,41.74,
11416.5,volume-dispense-1.0-channel_4-average,1.05,
11416.9,volume-dispense-1.0-channel_4-cv,1.5,
11417.2,volume-dispense-1.0-channel_4-d,5.23,
11417.5,volume-dispense-1.0-channel_4-celsius-pipette-avg,25.05,
11417.8,volume-dispense-1.0-channel_4-humidity-pipette-avg,41.74,
17062.1,volume-aspirate-1.0-channel_5-average,1.11,
17062.4,volume-aspirate-1.0-channel_5-cv,0.59,
17062.7,volume-aspirate-1.0-channel_5-d,10.95,
17063.1,volume-aspirate-1.0-channel_5-celsius-pipette-avg,25.29,
17063.4,volume-aspirate-1.0-channel_5-humidity-pipette-avg,40.81,
17063.7,volume-dispense-1.0-channel_5-average,1.06,
17064,volume-dispense-1.0-channel_5-cv,1.36,
17064.4,volume-dispense-1.0-channel_5-d,5.77E+00,
17064.7,volume-dispense-1.0-channel_5-celsius-pipette-avg,25.28,
17065.1,volume-dispense-1.0-channel_5-humidity-pipette-avg,40.88,
15634.9,volume-aspirate-1.0-channel_6-average,1.11E+00,
15635.2,volume-aspirate-1.0-channel_6-cv,0.58,
15635.6,volume-aspirate-1.0-channel_6-d,10.88,
15635.9,volume-aspirate-1.0-channel_6-celsius-pipette-avg,25.27,
15636.2,volume-aspirate-1.0-channel_6-humidity-pipette-avg,41.1,
15636.6,volume-dispense-1.0-channel_6-average,1.07,
15636.9,volume-dispense-1.0-channel_6-cv,1.62,
15637.2,volume-dispense-1.0-channel_6-d,7.01,
15637.6,volume-dispense-1.0-channel_6-celsius-pipette-avg,25.26,
15637.9,volume-dispense-1.0-channel_6-humidity-pipette-avg,41.13,
14217.4,volume-aspirate-1.0-channel_7-average,1.12E+00,
14217.7,volume-aspirate-1.0-channel_7-cv,0.77,
14218,volume-aspirate-1.0-channel_7-d,11.58,
14218.4,volume-aspirate-1.0-channel_7-celsius-pipette-avg,2.52E+01,
14218.7,volume-aspirate-1.0-channel_7-humidity-pipette-avg,41.34,
14219,volume-dispense-1.0-channel_7-average,1.07,
14219.3,volume-dispense-1.0-channel_7-cv,1.66,
14219.7,volume-dispense-1.0-channel_7-d,6.86,
14220,volume-dispense-1.0-channel_7-celsius-pipette-avg,25.22,
14220.3,volume-dispense-1.0-channel_7-humidity-pipette-avg,41.35,
12811.3,volume-aspirate-1.0-channel_8-average,1.09,
12811.6,volume-aspirate-1.0-channel_8-cv,0.75,
12811.9,volume-aspirate-1.0-channel_8-d,9.33,
12812.2,volume-aspirate-1.0-channel_8-celsius-pipette-avg,2.52E+01,
12812.5,volume-aspirate-1.0-channel_8-humidity-pipette-avg,41.57,
12812.8,volume-dispense-1.0-channel_8-average,1.04,
12813.1,volume-dispense-1.0-channel_8-cv,5.13E+00,
12813.4,volume-dispense-1.0-channel_8-d,3.71E+00,
12813.7,volume-dispense-1.0-channel_8-celsius-pipette-avg,25.14,
12814,volume-dispense-1.0-channel_8-humidity-pipette-avg,41.63,
17065.4,volume-aspirate-1.0-trial_1-average,1.13E+00,
17065.7,volume-aspirate-1.0-trial_1-cv,1.88,
17066.1,volume-aspirate-1.0-trial_1-d,13.06,
0.2,volume-aspirate-1.0-trial_1-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_1-humidity-pipette-avg,None,
17066.4,volume-dispense-1.0-trial_1-average,1.06,
17066.7,volume-dispense-1.0-trial_1-cv,1.84E+00,
17067.1,volume-dispense-1.0-trial_1-d,6.49,
0.2,volume-dispense-1.0-trial_1-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_1-humidity-pipette-avg,None,
17067.4,volume-aspirate-1.0-trial_2-average,1.12E+00,
17067.7,volume-aspirate-1.0-trial_2-cv,1.80E+00,
17068.1,volume-aspirate-1.0-trial_2-d,12.13,
0.2,volume-aspirate-1.0-trial_2-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_2-humidity-pipette-avg,None,
17068.4,volume-dispense-1.0-trial_2-average,1.06,
17068.7,volume-dispense-1.0-trial_2-cv,1.65,
17069.1,volume-dispense-1.0-trial_2-d,5.95,
0.2,volume-dispense-1.0-trial_2-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_2-humidity-pipette-avg,None,
17069.4,volume-aspirate-1.0-trial_3-average,1.12,
17069.7,volume-aspirate-1.0-trial_3-cv,2.06E+00,
17070.1,volume-aspirate-1.0-trial_3-d,1.23E+01,
0.2,volume-aspirate-1.0-trial_3-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_3-humidity-pipette-avg,None,
17070.4,volume-dispense-1.0-trial_3-average,1.05,
17070.7,volume-dispense-1.0-trial_3-cv,7.30E-01,
17071.1,volume-dispense-1.0-trial_3-d,5.26E+00,
0.2,volume-dispense-1.0-trial_3-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_3-humidity-pipette-avg,None,
17071.4,volume-aspirate-1.0-trial_4-average,1.12E+00,
17071.7,volume-aspirate-1.0-trial_4-cv,2.27,
17072.1,volume-aspirate-1.0-trial_4-d,1.24E+01,
0.2,volume-aspirate-1.0-trial_4-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_4-humidity-pipette-avg,None,
17072.4,volume-dispense-1.0-trial_4-average,1.06E+00,
17072.7,volume-dispense-1.0-trial_4-cv,2.28E+00,
17073.1,volume-dispense-1.0-trial_4-d,5.91E+00,
0.2,volume-dispense-1.0-trial_4-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_4-humidity-pipette-avg,None,
17073.4,volume-aspirate-1.0-trial_5-average,1.12E+00,
17073.7,volume-aspirate-1.0-trial_5-cv,2.48,
17074.1,volume-aspirate-1.0-trial_5-d,11.96,
0.2,volume-aspirate-1.0-trial_5-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_5-humidity-pipette-avg,None,
17074.4,volume-dispense-1.0-trial_5-average,1.06E+00,
17074.7,volume-dispense-1.0-trial_5-cv,1.69,
17075.1,volume-dispense-1.0-trial_5-d,5.88E+00,
0.2,volume-dispense-1.0-trial_5-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_5-humidity-pipette-avg,None,
17075.4,volume-aspirate-1.0-trial_6-average,1.12E+00,
17075.8,volume-aspirate-1.0-trial_6-cv,1.89,
17076.1,volume-aspirate-1.0-trial_6-d,1.22E+01,
0.2,volume-aspirate-1.0-trial_6-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_6-humidity-pipette-avg,None,
17076.4,volume-dispense-1.0-trial_6-average,1.05,
17076.8,volume-dispense-1.0-trial_6-cv,1.71E+00,
17077.1,volume-dispense-1.0-trial_6-d,5.44,
0.2,volume-dispense-1.0-trial_6-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_6-humidity-pipette-avg,None,
17077.4,volume-aspirate-1.0-trial_7-average,1.12E+00,
17077.8,volume-aspirate-1.0-trial_7-cv,1.84E+00,
17078.1,volume-aspirate-1.0-trial_7-d,1.20E+01,
0.2,volume-aspirate-1.0-trial_7-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_7-humidity-pipette-avg,None,
17078.4,volume-dispense-1.0-trial_7-average,1.03,
17078.8,volume-dispense-1.0-trial_7-cv,5.50E+00,
17079.1,volume-dispense-1.0-trial_7-d,3.23,
0.2,volume-dispense-1.0-trial_7-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_7-humidity-pipette-avg,None,
17079.4,volume-aspirate-1.0-trial_8-average,1.12,
17079.8,volume-aspirate-1.0-trial_8-cv,1.57E+00,
17080.1,volume-aspirate-1.0-trial_8-d,12.27,
0.2,volume-aspirate-1.0-trial_8-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_8-humidity-pipette-avg,None,
17080.4,volume-dispense-1.0-trial_8-average,1.05E+00,
17080.8,volume-dispense-1.0-trial_8-cv,1.37E+00,
17081.1,volume-dispense-1.0-trial_8-d,4.98,
0.2,volume-dispense-1.0-trial_8-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_8-humidity-pipette-avg,None,
17081.4,volume-aspirate-1.0-trial_9-average,1.12,
17081.8,volume-aspirate-1.0-trial_9-cv,1.62,
17082.1,volume-aspirate-1.0-trial_9-d,1.18E+01,
0.2,volume-aspirate-1.0-trial_9-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_9-humidity-pipette-avg,None,
17082.4,volume-dispense-1.0-trial_9-average,1.06,
17082.8,volume-dispense-1.0-trial_9-cv,1.74E+00,
17083.1,volume-dispense-1.0-trial_9-d,6.48E+00,
0.2,volume-dispense-1.0-trial_9-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_9-humidity-pipette-avg,None,
17083.4,volume-aspirate-1.0-trial_10-average,1.12,
17083.8,volume-aspirate-1.0-trial_10-cv,1.74E+00,
17084.1,volume-aspirate-1.0-trial_10-d,1.18E+01,
0.2,volume-aspirate-1.0-trial_10-celsius-pipette-avg,None,
0.2,volume-aspirate-1.0-trial_10-humidity-pipette-avg,None,
17084.4,volume-dispense-1.0-trial_10-average,1.05E+00,
17084.8,volume-dispense-1.0-trial_10-cv,3.54,
17085.1,volume-dispense-1.0-trial_10-d,5.16E+00,
0.2,volume-dispense-1.0-trial_10-celsius-pipette-avg,None,
0.2,volume-dispense-1.0-trial_10-humidity-pipette-avg,None,
29110.9,volume-aspirate-50.0-channel_all-average,50.44,
29111.2,volume-aspirate-50.0-channel_all-cv,0.15,
29111.6,volume-aspirate-50.0-channel_all-d,0.89,
0.2,volume-aspirate-50.0-channel_all-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-channel_all-humidity-pipette-avg,None,
29112,volume-dispense-50.0-channel_all-average,5.03E+01,
29112.4,volume-dispense-50.0-channel_all-cv,0.17,
29112.8,volume-dispense-50.0-channel_all-d,0.64,
0.2,volume-dispense-50.0-channel_all-celsius-pipette-avg,None,
0.2,volume-dispense-50.0-channel_all-humidity-pipette-avg,None,
18594.3,volume-aspirate-50.0-channel_1-average,5.04E+01,
18594.6,volume-aspirate-50.0-channel_1-cv,0.03,
18594.9,volume-aspirate-50.0-channel_1-d,8.20E-01,
18595.3,volume-aspirate-50.0-channel_1-celsius-pipette-avg,2.53E+01,
18595.6,volume-aspirate-50.0-channel_1-humidity-pipette-avg,4.09E+01,
18595.9,volume-dispense-50.0-channel_1-average,5.03E+01,
18596.3,volume-dispense-50.0-channel_1-cv,0.1,
18596.6,volume-dispense-50.0-channel_1-d,6.00E-01,
18597,volume-dispense-50.0-channel_1-celsius-pipette-avg,2.53E+01,
18597.3,volume-dispense-50.0-channel_1-humidity-pipette-avg,40.91,
20104.2,volume-aspirate-50.0-channel_2-average,50.39,
20104.5,volume-aspirate-50.0-channel_2-cv,3.00E-02,
20104.9,volume-aspirate-50.0-channel_2-d,0.78,
20105.2,volume-aspirate-50.0-channel_2-celsius-pipette-avg,2.53E+01,
20105.6,volume-aspirate-50.0-channel_2-humidity-pipette-avg,40.7,
20105.9,volume-dispense-50.0-channel_2-average,5.03E+01,
20106.3,volume-dispense-50.0-channel_2-cv,8.00E-02,
20106.6,volume-dispense-50.0-channel_2-d,0.55,
20107,volume-dispense-50.0-channel_2-celsius-pipette-avg,2.53E+01,
20107.3,volume-dispense-50.0-channel_2-humidity-pipette-avg,40.75,
21612.4,volume-aspirate-50.0-channel_3-average,5.05E+01,
21612.7,volume-aspirate-50.0-channel_3-cv,2.00E-02,
21613.1,volume-aspirate-50.0-channel_3-d,1.08,
21613.5,volume-aspirate-50.0-channel_3-celsius-pipette-avg,25.32,
21613.8,volume-aspirate-50.0-channel_3-humidity-pipette-avg,4.07E+01,
21614.2,volume-dispense-50.0-channel_3-average,50.42,
21614.5,volume-dispense-50.0-channel_3-cv,3.00E-02,
21614.9,volume-dispense-50.0-channel_3-d,0.83,
21615.3,volume-dispense-50.0-channel_3-celsius-pipette-avg,2.53E+01,
21615.6,volume-dispense-50.0-channel_3-humidity-pipette-avg,4.07E+01,
23120.2,volume-aspirate-50.0-channel_4-average,5.04E+01,
23120.6,volume-aspirate-50.0-channel_4-cv,1.00E-02,
23120.9,volume-aspirate-50.0-channel_4-d,0.78,
23121.3,volume-aspirate-50.0-channel_4-celsius-pipette-avg,2.54E+01,
23121.7,volume-aspirate-50.0-channel_4-humidity-pipette-avg,4.07E+01,
23122.1,volume-dispense-50.0-channel_4-average,50.27,
23122.4,volume-dispense-50.0-channel_4-cv,0.07,
23122.8,volume-dispense-50.0-channel_4-d,5.30E-01,
23123.2,volume-dispense-50.0-channel_4-celsius-pipette-avg,25.35,
23123.5,volume-dispense-50.0-channel_4-humidity-pipette-avg,4.07E+01,
29083.4,volume-aspirate-50.0-channel_5-average,50.34,
29083.8,volume-aspirate-50.0-channel_5-cv,5.00E-02,
29084.2,volume-aspirate-50.0-channel_5-d,6.70E-01,
29084.6,volume-aspirate-50.0-channel_5-celsius-pipette-avg,25.37,
29085,volume-aspirate-50.0-channel_5-humidity-pipette-avg,4.04E+01,
29085.4,volume-dispense-50.0-channel_5-average,50.19,
29085.8,volume-dispense-50.0-channel_5-cv,1.30E-01,
29086.2,volume-dispense-50.0-channel_5-d,3.90E-01,
29086.6,volume-dispense-50.0-channel_5-celsius-pipette-avg,25.38,
29087,volume-dispense-50.0-channel_5-humidity-pipette-avg,40.42,
27571.6,volume-aspirate-50.0-channel_6-average,5.05E+01,
27572,volume-aspirate-50.0-channel_6-cv,0.03,
27572.4,volume-aspirate-50.0-channel_6-d,9.90E-01,
27572.7,volume-aspirate-50.0-channel_6-celsius-pipette-avg,25.4,
27573.1,volume-aspirate-50.0-channel_6-humidity-pipette-avg,4.06E+01,
27573.5,volume-dispense-50.0-channel_6-average,5.04E+01,
27573.9,volume-dispense-50.0-channel_6-cv,5.00E-02,
27574.3,volume-dispense-50.0-channel_6-d,7.70E-01,
27574.7,volume-dispense-50.0-channel_6-celsius-pipette-avg,25.4,
27575.1,volume-dispense-50.0-channel_6-humidity-pipette-avg,4.06E+01,
26075.8,volume-aspirate-50.0-channel_7-average,5.06E+01,
26076.2,volume-aspirate-50.0-channel_7-cv,0.04,
26076.6,volume-aspirate-50.0-channel_7-d,1.12,
26077,volume-aspirate-50.0-channel_7-celsius-pipette-avg,2.54E+01,
26077.3,volume-aspirate-50.0-channel_7-humidity-pipette-avg,40.47,
26077.7,volume-dispense-50.0-channel_7-average,5.04E+01,
26078.1,volume-dispense-50.0-channel_7-cv,0.06,
26078.5,volume-dispense-50.0-channel_7-d,8.40E-01,
26078.9,volume-dispense-50.0-channel_7-celsius-pipette-avg,2.54E+01,
26079.2,volume-dispense-50.0-channel_7-humidity-pipette-avg,4.05E+01,
24592.6,volume-aspirate-50.0-channel_8-average,5.04E+01,
24593,volume-aspirate-50.0-channel_8-cv,0.03,
24593.3,volume-aspirate-50.0-channel_8-d,8.70E-01,
24593.7,volume-aspirate-50.0-channel_8-celsius-pipette-avg,2.54E+01,
24594.1,volume-aspirate-50.0-channel_8-humidity-pipette-avg,40.66,
24594.4,volume-dispense-50.0-channel_8-average,50.32,
24594.8,volume-dispense-50.0-channel_8-cv,9.00E-02,
24595.2,volume-dispense-50.0-channel_8-d,0.64,
24595.5,volume-dispense-50.0-channel_8-celsius-pipette-avg,2.54E+01,
24595.9,volume-dispense-50.0-channel_8-humidity-pipette-avg,40.67,
29087.4,volume-aspirate-50.0-trial_1-average,5.05E+01,
29087.8,volume-aspirate-50.0-trial_1-cv,1.60E-01,
29088.1,volume-aspirate-50.0-trial_1-d,8.90E-01,
0.2,volume-aspirate-50.0-trial_1-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-trial_1-humidity-pipette-avg,None,
29088.5,volume-dispense-50.0-trial_1-average,5.03E+01,
29088.9,volume-dispense-50.0-trial_1-cv,1.70E-01,
29089.3,volume-dispense-50.0-trial_1-d,0.6,
0.2,volume-dispense-50.0-trial_1-celsius-pipette-avg,None,
0.2,volume-dispense-50.0-trial_1-humidity-pipette-avg,None,
29089.7,volume-aspirate-50.0-trial_2-average,50.45,
29090.1,volume-aspirate-50.0-trial_2-cv,1.70E-01,
29090.5,volume-aspirate-50.0-trial_2-d,0.89,
0.2,volume-aspirate-50.0-trial_2-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-trial_2-humidity-pipette-avg,None,
29090.9,volume-dispense-50.0-trial_2-average,5.04E+01,
29091.3,volume-dispense-50.0-trial_2-cv,2.00E-01,
29091.7,volume-dispense-50.0-trial_2-d,0.7,
0.2,volume-dispense-50.0-trial_2-celsius-pipette-avg,None,
0.2,volume-dispense-50.0-trial_2-humidity-pipette-avg,None,
29092,volume-aspirate-50.0-trial_3-average,50.44,
29092.4,volume-aspirate-50.0-trial_3-cv,0.16,
29092.8,volume-aspirate-50.0-trial_3-d,8.80E-01,
0.2,volume-aspirate-50.0-trial_3-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-trial_3-humidity-pipette-avg,None,
29093.2,volume-dispense-50.0-trial_3-average,50.32,
29093.6,volume-dispense-50.0-trial_3-cv,1.60E-01,
29094,volume-dispense-50.0-trial_3-d,6.50E-01,
0.2,volume-dispense-50.0-trial_3-celsius-pipette-avg,None,
0.2,volume-dispense-50.0-trial_3-humidity-pipette-avg,None,
29094.4,volume-aspirate-50.0-trial_4-average,50.44,
29094.8,volume-aspirate-50.0-trial_4-cv,1.80E-01,
29095.2,volume-aspirate-50.0-trial_4-d,8.90E-01,
0.2,volume-aspirate-50.0-trial_4-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-trial_4-humidity-pipette-avg,None,
29095.6,volume-dispense-50.0-trial_4-average,5.03E+01,
29096,volume-dispense-50.0-trial_4-cv,0.19,
29096.3,volume-dispense-50.0-trial_4-d,6.70E-01,
0.2,volume-dispense-50.0-trial_4-celsius-pipette-avg,None,
0.2,volume-dispense-50.0-trial_4-humidity-pipette-avg,None,
29096.7,volume-aspirate-50.0-trial_5-average,5.05E+01,
29097.1,volume-aspirate-50.0-trial_5-cv,1.50E-01,
29097.5,volume-aspirate-50.0-trial_5-d,8.90E-01,
0.2,volume-aspirate-50.0-trial_5-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-trial_5-humidity-pipette-avg,None,
29097.9,volume-dispense-50.0-trial_5-average,5.03E+01,
29098.3,volume-dispense-50.0-trial_5-cv,0.15,
29098.7,volume-dispense-50.0-trial_5-d,0.65,
0.2,volume-dispense-50.0-trial_5-celsius-pipette-avg,None,
0.2,volume-dispense-50.0-trial_5-humidity-pipette-avg,None,
29099.1,volume-aspirate-50.0-trial_6-average,5.04E+01,
29099.5,volume-aspirate-50.0-trial_6-cv,0.16,
29099.9,volume-aspirate-50.0-trial_6-d,8.80E-01,
0.2,volume-aspirate-50.0-trial_6-celsius-pipette-avg,None,
0.2,volume-aspirate-50.0-trial_6-humidity-pipette-avg,None,
29100.3,volume-dispense-50.0-trial_6-average,5.03E+01,
29100.7,volume-dispense-50.0-trial_6-cv,0.18,
29101.1,volume-dispense-50.0-trial_6-d,6.20E-01,
