copy,copy,copy,copy
0,_______________,
0,META_DATA_START,,
0,test_name,gravimetric-ot3-p50s-single,
2.3,test_tag,P50SV3620240909A01-qc,
0,test_run_id,run-26-02-01-08-34-49,
5.4,test_device_id,P50SV3620240909A01-qc,
6.1,test_robot_id,None,
0.1,test_time_utc,2026/02/01-08:34:49,
2.4,test_operator,Haiyan,
2.5,test_version,labware_library@3.7.0_18_g6f626e12f6-6f626e12f6,
2.5,firmware,67,
0,META_DATA_END,,
4706.8,______________________,,
4706.8,RESULTS_OVERVIEW_START,,
4706.8,RESULT_META_DATA,None,
4706.8,RESULT_SERIAL-NUMBERS,None,
4706.8,RESULT_CONFIG,None,
4706.8,RESULT_VOLUMES,None,
4706.8,RESULT_TRIALS,None,
4706.8,RESULT_EVAPORATION,None,
4706.8,RESULT_ENVIRONMENT,None,
4706.8,RESULT_MEASUREMENTS,None,
4706.8,RESULT_ENCODER,None,
4706.8,RESULT_RUNTIME_PARAMS,None,
4706.8,RESULTS_OVERVIEW_END,,
5.5,____________________,,
5.5,SERIAL-NUMBERS_START,,
5.5,robot,v880,
5.6,pipette,P50SV3620240909A01-qc,
None,tips_20ul,None,
5.7,tips_50ul,C20241101,
5.7,tips_200ul,Unused,
5.8,tips_1000ul,Unused,
5.9,scale,685825,
6,environment,8d9d000c,
6,liquid,water,
5.5,SERIAL-NUMBERS_END,,
6.2,____________,,
6.2,CONFIG_START,,
6.2,name,gravimetric-ot3-p50-single,
6.3,pipette_volume,50,
6.3,pipette_channels,1,
6.4,pipette_mount,left,
6.5,tip_volume,50,
6.6,trials,10,
6.6,increment,FALSE,
6.7,return_tip,FALSE,
6.8,mix,FALSE,
6.8,user_volumes,FALSE,
6.9,kind,ConfigType.gravimetric.Production.Opentrons,
7,extra,TRUE,
7.1,jog,FALSE,
7.2,same_tip,FALSE,
7.2,ignore_fail,TRUE,
7.3,mode,,
7.4,labware_on_scale,radwag_pipette_calibration_vial,
7.4,slot_scale,4,
7.5,blank,TRUE,
7.6,gantry_speed,40,
7.7,scale_delay,10,
7.8,isolate_channels,,
7.8,isolate_volumes,,
7.9,liquid,water,
6.2,CONFIG_END,,
0.1,_____________,,
0.1,VOLUMES_START,,
2409.4,volume-aspirate-1.0-channel_all-average,1.09,
2409.5,volume-aspirate-1.0-channel_all-cv,0.83,
2409.6,volume-aspirate-1.0-channel_all-d,9.16,
0.1,volume-aspirate-1.0-channel_all-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-channel_all-humidity-pipette-avg,None,
2409.7,volume-dispense-1.0-channel_all-average,1.01,
2409.8,volume-dispense-1.0-channel_all-cv,2.51,
2409.9,volume-dispense-1.0-channel_all-d,1.44,
0.1,volume-dispense-1.0-channel_all-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-channel_all-humidity-pipette-avg,None,
2402.8,volume-aspirate-1.0-channel_1-average,1.09,
2402.9,volume-aspirate-1.0-channel_1-cv,0.83,
2402.9,volume-aspirate-1.0-channel_1-d,9.16,
2403,volume-aspirate-1.0-channel_1-celsius-pipette-avg,25.19,
2403.1,volume-aspirate-1.0-channel_1-humidity-pipette-avg,44.91,
2403.2,volume-dispense-1.0-channel_1-average,1.01,
2403.3,volume-dispense-1.0-channel_1-cv,2.51,
2403.4,volume-dispense-1.0-channel_1-d,1.44,
2403.5,volume-dispense-1.0-channel_1-celsius-pipette-avg,25.2,
2403.6,volume-dispense-1.0-channel_1-humidity-pipette-avg,44.92,
2403.7,volume-aspirate-1.0-trial_1-average,1.08,
2403.8,volume-aspirate-1.0-trial_1-cv,-1,
2403.9,volume-aspirate-1.0-trial_1-d,8.03,
0.1,volume-aspirate-1.0-trial_1-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_1-humidity-pipette-avg,None,
2404,volume-dispense-1.0-trial_1-average,0.99,
2404.1,volume-dispense-1.0-trial_1-cv,-1,
2404.2,volume-dispense-1.0-trial_1-d,-0.85,
0.1,volume-dispense-1.0-trial_1-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_1-humidity-pipette-avg,None,
2404.3,volume-aspirate-1.0-trial_2-average,1.09,
2404.4,volume-aspirate-1.0-trial_2-cv,-1,
2404.4,volume-aspirate-1.0-trial_2-d,9.07,
0.1,volume-aspirate-1.0-trial_2-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_2-humidity-pipette-avg,None,
2404.5,volume-dispense-1.0-trial_2-average,1.01,
2404.6,volume-dispense-1.0-trial_2-cv,-1,
2404.7,volume-dispense-1.0-trial_2-d,0.55,
0.1,volume-dispense-1.0-trial_2-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_2-humidity-pipette-avg,None,
2404.8,volume-aspirate-1.0-trial_3-average,1.1,
2404.9,volume-aspirate-1.0-trial_3-cv,-1,
2405,volume-aspirate-1.0-trial_3-d,9.77,
0.1,volume-aspirate-1.0-trial_3-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_3-humidity-pipette-avg,None,
2405.1,volume-dispense-1.0-trial_3-average,1.01,
2405.2,volume-dispense-1.0-trial_3-cv,-1,
2405.3,volume-dispense-1.0-trial_3-d,1.35,
0.1,volume-dispense-1.0-trial_3-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_3-humidity-pipette-avg,None,
2405.4,volume-aspirate-1.0-trial_4-average,1.09,
2405.4,volume-aspirate-1.0-trial_4-cv,-1,
2405.6,volume-aspirate-1.0-trial_4-d,9.47,
0.1,volume-aspirate-1.0-trial_4-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_4-humidity-pipette-avg,None,
2405.7,volume-dispense-1.0-trial_4-average,1.01,
2405.7,volume-dispense-1.0-trial_4-cv,-1,
2405.9,volume-dispense-1.0-trial_4-d,1.10E+00,
0.1,volume-dispense-1.0-trial_4-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_4-humidity-pipette-avg,None,
2406,volume-aspirate-1.0-trial_5-average,1.08,
2406.1,volume-aspirate-1.0-trial_5-cv,-1,
2406.2,volume-aspirate-1.0-trial_5-d,7.85,
0.1,volume-aspirate-1.0-trial_5-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_5-humidity-pipette-avg,None,
2406.2,volume-dispense-1.0-trial_5-average,1.01,
2406.3,volume-dispense-1.0-trial_5-cv,-1,
2406.4,volume-dispense-1.0-trial_5-d,1.33E+00,
0.1,volume-dispense-1.0-trial_5-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_5-humidity-pipette-avg,None,
2406.5,volume-aspirate-1.0-trial_6-average,1.08E+00,
2406.6,volume-aspirate-1.0-trial_6-cv,-1,
2406.8,volume-aspirate-1.0-trial_6-d,8.45,
0.1,volume-aspirate-1.0-trial_6-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_6-humidity-pipette-avg,None,
2406.9,volume-dispense-1.0-trial_6-average,1,
2407,volume-dispense-1.0-trial_6-cv,-1,
2407.1,volume-dispense-1.0-trial_6-d,0.4,
0.1,volume-dispense-1.0-trial_6-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_6-humidity-pipette-avg,None,
2407.2,volume-aspirate-1.0-trial_7-average,1.10E+00,
2407.3,volume-aspirate-1.0-trial_7-cv,-1,
2407.4,volume-aspirate-1.0-trial_7-d,9.61,
0.1,volume-aspirate-1.0-trial_7-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_7-humidity-pipette-avg,None,
2407.5,volume-dispense-1.0-trial_7-average,1.01,
2407.6,volume-dispense-1.0-trial_7-cv,-1,
2407.7,volume-dispense-1.0-trial_7-d,1.47E+00,
0.1,volume-dispense-1.0-trial_7-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_7-humidity-pipette-avg,None,
2407.8,volume-aspirate-1.0-trial_8-average,1.09,
2407.9,volume-aspirate-1.0-trial_8-cv,-1,
2408,volume-aspirate-1.0-trial_8-d,8.6,
0.1,volume-aspirate-1.0-trial_8-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_8-humidity-pipette-avg,None,
2408.1,volume-dispense-1.0-trial_8-average,9.90E-01,
2408.1,volume-dispense-1.0-trial_8-cv,-1.00E+00,
2408.2,volume-dispense-1.0-trial_8-d,-8.60E-01,
0.1,volume-dispense-1.0-trial_8-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_8-humidity-pipette-avg,None,
2408.3,volume-aspirate-1.0-trial_9-average,1.10E+00,
2408.4,volume-aspirate-1.0-trial_9-cv,-1,
2408.5,volume-aspirate-1.0-trial_9-d,10.47,
0.1,volume-aspirate-1.0-trial_9-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_9-humidity-pipette-avg,None,
2408.6,volume-dispense-1.0-trial_9-average,1.08,
2408.7,volume-dispense-1.0-trial_9-cv,-1,
2408.8,volume-dispense-1.0-trial_9-d,8.2,
0.1,volume-dispense-1.0-trial_9-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_9-humidity-pipette-avg,None,
2408.9,volume-aspirate-1.0-trial_10-average,1.10E+00,
2409,volume-aspirate-1.0-trial_10-cv,-1.00E+00,
2409.1,volume-aspirate-1.0-trial_10-d,10.28,
0.1,volume-aspirate-1.0-trial_10-celsius-pipette-avg,None,
0.1,volume-aspirate-1.0-trial_10-humidity-pipette-avg,None,
2409.2,volume-dispense-1.0-trial_10-average,1.02,
2409.3,volume-dispense-1.0-trial_10-cv,-1,
2409.4,volume-dispense-1.0-trial_10-d,1.73E+00,
0.1,volume-dispense-1.0-trial_10-celsius-pipette-avg,None,
0.1,volume-dispense-1.0-trial_10-humidity-pipette-avg,None,
3555.4,volume-aspirate-50.0-channel_all-average,49.89,
3555.5,volume-aspirate-50.0-channel_all-cv,5.00E-02,
3555.6,volume-aspirate-50.0-channel_all-d,-2.10E-01,
0.1,volume-aspirate-50.0-channel_all-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-channel_all-humidity-pipette-avg,None,
3555.7,volume-dispense-50.0-channel_all-average,49.8,
3555.8,volume-dispense-50.0-channel_all-cv,5.00E-02,
3555.9,volume-dispense-50.0-channel_all-d,-4.00E-01,
0.1,volume-dispense-50.0-channel_all-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-channel_all-humidity-pipette-avg,None,
3548.2,volume-aspirate-50.0-channel_1-average,4.99E+01,
3548.3,volume-aspirate-50.0-channel_1-cv,0.05,
3548.4,volume-aspirate-50.0-channel_1-d,-2.10E-01,
3548.4,volume-aspirate-50.0-channel_1-celsius-pipette-avg,25.93,
3548.5,volume-aspirate-50.0-channel_1-humidity-pipette-avg,4.27E+01,
3548.6,volume-dispense-50.0-channel_1-average,4.98E+01,
3548.7,volume-dispense-50.0-channel_1-cv,5.00E-02,
3548.8,volume-dispense-50.0-channel_1-d,-4.00E-01,
3548.9,volume-dispense-50.0-channel_1-celsius-pipette-avg,25.94,
3549.1,volume-dispense-50.0-channel_1-humidity-pipette-avg,4.28E+01,
3549.2,volume-aspirate-50.0-trial_1-average,4.99E+01,
3549.3,volume-aspirate-50.0-trial_1-cv,-1,
3549.4,volume-aspirate-50.0-trial_1-d,-0.12,
0.1,volume-aspirate-50.0-trial_1-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_1-humidity-pipette-avg,None,
3549.5,volume-dispense-50.0-trial_1-average,4.99E+01,
3549.6,volume-dispense-50.0-trial_1-cv,-1,
3549.7,volume-dispense-50.0-trial_1-d,-3.00E-01,
0.1,volume-dispense-50.0-trial_1-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_1-humidity-pipette-avg,None,
3549.8,volume-aspirate-50.0-trial_2-average,49.92,
3549.9,volume-aspirate-50.0-trial_2-cv,-1,
3550,volume-aspirate-50.0-trial_2-d,-0.15,
0.1,volume-aspirate-50.0-trial_2-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_2-humidity-pipette-avg,None,
3550.1,volume-dispense-50.0-trial_2-average,49.82,
3550.2,volume-dispense-50.0-trial_2-cv,-1.00E+00,
3550.3,volume-dispense-50.0-trial_2-d,-0.36,
0.1,volume-dispense-50.0-trial_2-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_2-humidity-pipette-avg,None,
3550.4,volume-aspirate-50.0-trial_3-average,4.99E+01,
3550.5,volume-aspirate-50.0-trial_3-cv,-1.00E+00,
3550.6,volume-aspirate-50.0-trial_3-d,-1.80E-01,
0.1,volume-aspirate-50.0-trial_3-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_3-humidity-pipette-avg,None,
3550.7,volume-dispense-50.0-trial_3-average,4.98E+01,
3550.8,volume-dispense-50.0-trial_3-cv,-1.00E+00,
3550.9,volume-dispense-50.0-trial_3-d,-0.41,
0.1,volume-dispense-50.0-trial_3-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_3-humidity-pipette-avg,None,
3551.1,volume-aspirate-50.0-trial_4-average,4.99E+01,
3551.2,volume-aspirate-50.0-trial_4-cv,-1.00E+00,
3551.3,volume-aspirate-50.0-trial_4-d,-0.22,
0.1,volume-aspirate-50.0-trial_4-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_4-humidity-pipette-avg,None,
3551.4,volume-dispense-50.0-trial_4-average,4.98E+01,
3551.5,volume-dispense-50.0-trial_4-cv,-1.00E+00,
3551.6,volume-dispense-50.0-trial_4-d,-0.43,
0.1,volume-dispense-50.0-trial_4-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_4-humidity-pipette-avg,None,
3551.7,volume-aspirate-50.0-trial_5-average,49.87,
3551.8,volume-aspirate-50.0-trial_5-cv,-1,
3551.9,volume-aspirate-50.0-trial_5-d,-2.50E-01,
0.1,volume-aspirate-50.0-trial_5-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_5-humidity-pipette-avg,None,
3552,volume-dispense-50.0-trial_5-average,49.77,
3552.1,volume-dispense-50.0-trial_5-cv,-1.00E+00,
3552.2,volume-dispense-50.0-trial_5-d,-0.45,
0.1,volume-dispense-50.0-trial_5-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_5-humidity-pipette-avg,None,
3552.3,volume-aspirate-50.0-trial_6-average,49.88,
3552.4,volume-aspirate-50.0-trial_6-cv,-1.00E+00,
3552.5,volume-aspirate-50.0-trial_6-d,-2.40E-01,
0.1,volume-aspirate-50.0-trial_6-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_6-humidity-pipette-avg,None,
3552.6,volume-dispense-50.0-trial_6-average,4.98E+01,
3552.7,volume-dispense-50.0-trial_6-cv,-1.00E+00,
3552.8,volume-dispense-50.0-trial_6-d,-3.70E-01,
0.1,volume-dispense-50.0-trial_6-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_6-humidity-pipette-avg,None,
3552.9,volume-aspirate-50.0-trial_7-average,4.99E+01,
3553,volume-aspirate-50.0-trial_7-cv,-1.00E+00,
3553.1,volume-aspirate-50.0-trial_7-d,-1.90E-01,
0.1,volume-aspirate-50.0-trial_7-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_7-humidity-pipette-avg,None,
3553.2,volume-dispense-50.0-trial_7-average,4.98E+01,
3553.3,volume-dispense-50.0-trial_7-cv,-1,
3553.4,volume-dispense-50.0-trial_7-d,-0.37,
0.1,volume-dispense-50.0-trial_7-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_7-humidity-pipette-avg,None,
3553.5,volume-aspirate-50.0-trial_8-average,4.99E+01,
3553.6,volume-aspirate-50.0-trial_8-cv,-1,
3553.7,volume-aspirate-50.0-trial_8-d,-2.50E-01,
0.1,volume-aspirate-50.0-trial_8-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_8-humidity-pipette-avg,None,
3553.8,volume-dispense-50.0-trial_8-average,4.98E+01,
3553.9,volume-dispense-50.0-trial_8-cv,-1,
3554,volume-dispense-50.0-trial_8-d,-4.30E-01,
0.1,volume-dispense-50.0-trial_8-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_8-humidity-pipette-avg,None,
3554.1,volume-aspirate-50.0-trial_9-average,49.87,
3554.2,volume-aspirate-50.0-trial_9-cv,-1.00E+00,
3554.3,volume-aspirate-50.0-trial_9-d,-2.60E-01,
0.1,volume-aspirate-50.0-trial_9-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_9-humidity-pipette-avg,None,
3554.4,volume-dispense-50.0-trial_9-average,4.98E+01,
3554.5,volume-dispense-50.0-trial_9-cv,-1.00E+00,
3554.6,volume-dispense-50.0-trial_9-d,-4.50E-01,
0.1,volume-dispense-50.0-trial_9-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_9-humidity-pipette-avg,None,
3554.7,volume-aspirate-50.0-trial_10-average,4.99E+01,
3554.8,volume-aspirate-50.0-trial_10-cv,-1.00E+00,
3554.9,volume-aspirate-50.0-trial_10-d,-0.26,
0.1,volume-aspirate-50.0-trial_10-celsius-pipette-avg,None,
0.1,volume-aspirate-50.0-trial_10-humidity-pipette-avg,None,
3555,volume-dispense-50.0-trial_10-average,4.98E+01,
3555.1,volume-dispense-50.0-trial_10-cv,-1.00E+00,
3555.3,volume-dispense-50.0-trial_10-d,-0.45,
0.1,volume-dispense-50.0-trial_10-celsius-pipette-avg,None,
0.1,volume-dispense-50.0-trial_10-humidity-pipette-avg,None,
4706.3,volume-aspirate-10.0-channel_all-average,10.09,
4706.4,volume-aspirate-10.0-channel_all-cv,2.20E-01,
4706.5,volume-aspirate-10.0-channel_all-d,0.88,
0.1,volume-aspirate-10.0-channel_all-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-channel_all-humidity-pipette-avg,None,
4706.6,volume-dispense-10.0-channel_all-average,10,
4706.7,volume-dispense-10.0-channel_all-cv,0.2,
4706.8,volume-dispense-10.0-channel_all-d,2.00E-02,
0.1,volume-dispense-10.0-channel_all-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-channel_all-humidity-pipette-avg,None,
4698.5,volume-aspirate-10.0-channel_1-average,10.09,
4698.6,volume-aspirate-10.0-channel_1-cv,2.20E-01,
4698.7,volume-aspirate-10.0-channel_1-d,8.80E-01,
4698.8,volume-aspirate-10.0-channel_1-celsius-pipette-avg,2.63E+01,
4698.9,volume-aspirate-10.0-channel_1-humidity-pipette-avg,4.19E+01,
4699,volume-dispense-10.0-channel_1-average,10,
4699.2,volume-dispense-10.0-channel_1-cv,2.00E-01,
4699.3,volume-dispense-10.0-channel_1-d,2.00E-02,
4699.4,volume-dispense-10.0-channel_1-celsius-pipette-avg,26.33,
4699.5,volume-dispense-10.0-channel_1-humidity-pipette-avg,41.75,
4699.6,volume-aspirate-10.0-trial_1-average,1.01E+01,
4699.7,volume-aspirate-10.0-trial_1-cv,-1.00E+00,
4699.8,volume-aspirate-10.0-trial_1-d,1.00E+00,
0.1,volume-aspirate-10.0-trial_1-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_1-humidity-pipette-avg,None,
4699.9,volume-dispense-10.0-trial_1-average,1.00E+01,
4700,volume-dispense-10.0-trial_1-cv,-1.00E+00,
4700.1,volume-dispense-10.0-trial_1-d,1.30E-01,
0.1,volume-dispense-10.0-trial_1-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_1-humidity-pipette-avg,None,
4700.2,volume-aspirate-10.0-trial_2-average,1.01E+01,
4700.3,volume-aspirate-10.0-trial_2-cv,-1,
4700.4,volume-aspirate-10.0-trial_2-d,1.31,
0.1,volume-aspirate-10.0-trial_2-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_2-humidity-pipette-avg,None,
4700.6,volume-dispense-10.0-trial_2-average,1.00E+01,
4700.7,volume-dispense-10.0-trial_2-cv,-1,
4700.8,volume-dispense-10.0-trial_2-d,4.00E-01,
0.1,volume-dispense-10.0-trial_2-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_2-humidity-pipette-avg,None,
4700.9,volume-aspirate-10.0-trial_3-average,1.01E+01,
4701,volume-aspirate-10.0-trial_3-cv,-1,
4701.2,volume-aspirate-10.0-trial_3-d,8.10E-01,
0.1,volume-aspirate-10.0-trial_3-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_3-humidity-pipette-avg,None,
4701.3,volume-dispense-10.0-trial_3-average,10.01,
4701.4,volume-dispense-10.0-trial_3-cv,-1.00E+00,
4701.5,volume-dispense-10.0-trial_3-d,1.10E-01,
0.1,volume-dispense-10.0-trial_3-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_3-humidity-pipette-avg,None,
4701.6,volume-aspirate-10.0-trial_4-average,1.01E+01,
4701.7,volume-aspirate-10.0-trial_4-cv,-1.00E+00,
4701.8,volume-aspirate-10.0-trial_4-d,8.20E-01,
0.1,volume-aspirate-10.0-trial_4-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_4-humidity-pipette-avg,None,
4701.9,volume-dispense-10.0-trial_4-average,1.00E+01,
4702,volume-dispense-10.0-trial_4-cv,-1.00E+00,
4702.2,volume-dispense-10.0-trial_4-d,-0.04,
0.1,volume-dispense-10.0-trial_4-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_4-humidity-pipette-avg,None,
4702.3,volume-aspirate-10.0-trial_5-average,1.01E+01,
4702.4,volume-aspirate-10.0-trial_5-cv,-1.00E+00,
4702.5,volume-aspirate-10.0-trial_5-d,0.85,
0.1,volume-aspirate-10.0-trial_5-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_5-humidity-pipette-avg,None,
4702.6,volume-dispense-10.0-trial_5-average,9.99E+00,
4702.7,volume-dispense-10.0-trial_5-cv,-1.00E+00,
4702.8,volume-dispense-10.0-trial_5-d,-0.11,
0.1,volume-dispense-10.0-trial_5-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_5-humidity-pipette-avg,None,
4702.9,volume-aspirate-10.0-trial_6-average,1.01E+01,
4703,volume-aspirate-10.0-trial_6-cv,-1,
4703.2,volume-aspirate-10.0-trial_6-d,8.60E-01,
0.1,volume-aspirate-10.0-trial_6-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_6-humidity-pipette-avg,None,
4703.3,volume-dispense-10.0-trial_6-average,10,
4703.4,volume-dispense-10.0-trial_6-cv,-1.00E+00,
4703.5,volume-dispense-10.0-trial_6-d,3.00E-02,
0.1,volume-dispense-10.0-trial_6-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_6-humidity-pipette-avg,None,
4703.6,volume-aspirate-10.0-trial_7-average,10.12,
4703.7,volume-aspirate-10.0-trial_7-cv,-1.00E+00,
4703.8,volume-aspirate-10.0-trial_7-d,1.17E+00,
0.1,volume-aspirate-10.0-trial_7-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_7-humidity-pipette-avg,None,
4703.9,volume-dispense-10.0-trial_7-average,1.00E+01,
4704,volume-dispense-10.0-trial_7-cv,-1.00E+00,
4704.1,volume-dispense-10.0-trial_7-d,2.30E-01,
0.1,volume-dispense-10.0-trial_7-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_7-humidity-pipette-avg,None,
4704.2,volume-aspirate-10.0-trial_8-average,1.01E+01,
4704.4,volume-aspirate-10.0-trial_8-cv,-1.00E+00,
4704.5,volume-aspirate-10.0-trial_8-d,7.70E-01,
0.1,volume-aspirate-10.0-trial_8-celsius-pipette-avg,None,
0.1,volume-aspirate-10.0-trial_8-humidity-pipette-avg,None,
4704.6,volume-dispense-10.0-trial_8-average,9.99E+00,
4704.7,volume-dispense-10.0-trial_8-cv,-1.00E+00,
4704.8,volume-dispense-10.0-trial_8-d,-0.12,
0.1,volume-dispense-10.0-trial_8-celsius-pipette-avg,None,
0.1,volume-dispense-10.0-trial_8-humidity-pipette-avg,None,
4704.9,volume-aspirate-10.0-trial_9-average,1.01E+01,
4705,volume-aspirate-10.0-trial_9-cv,-1,
