copy,copy,copy,copy,,RETEST---.>>,,THIS IS NOT READY TO USE,,,,
0,_______________,,,,,,,,,,PASTE TO H1
0,META_DATA_START,,,,,,,,,,PASTE TO H1
0,test_name,gravimetric-ot3-p1000-single,,,,,,,,,PASTE TO H1
0,test_tag,P1KSV3620260422A17-qc,,,,,,,,,PASTE TO H1
0,test_run_id,run-26-05-21-16-26-54,,,,,,,,,PASTE TO H1
0.4,test_device_id,P1KSV3620260422A17-qc,,,,,,,,,PASTE TO H1
0.4,test_robot_id,GRAV1,,,,,,,,,PASTE TO H1
0,test_time_utc,2026/05/21-16:27:12,,,,,,,,,PASTE TO H1
0.1,test_operator,Yanglin,,,,,,,,,PASTE TO H1
0.2,test_version,mp.robot_23.11.28_senser_1_ge84a857923-e84a857923,,,,,,,,,PASTE TO H1
0.2,firmware,43,68,55,,,,,,,PASTE TO H1
0,META_DATA_END,,,,,,,,,,PASTE TO H1
3822.3,______________________,,,,,,,,,,PASTE TO H1
3822.3,RESULTS_OVERVIEW_START,,,,,,,,,,PASTE TO H1
3822.3,RESULT_META_DATA,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_SERIAL-NUMBERS,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_CONFIG,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_VOLUMES,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_TRIALS,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_EVAPORATION,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_ENVIRONMENT,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_MEASUREMENTS,None,,,,,,,,,PASTE TO H1
3822.3,RESULT_ENCODER,None,,,,,,,,,PASTE TO H1
3822.3,RESULTS_OVERVIEW_END,,,,,,,,,,PASTE TO H1
0.5,____________________,,,,,,,,,,PASTE TO H1
0.5,SERIAL-NUMBERS_START,,,,,,,,,,
0.5,robot,GRAV1,,,,,,,,,
0.5,pipette,P1KSV3620260422A17-qc,,,,,,,,,
0.6,tips_50ul,A20260227-L,,,,,,,,,
None,tips_200ul,None,,,,,,,,,
0.7,tips_1000ul,B20251122,,,,,,,,,
0.7,scale,590755,,,,,,,,,
0.8,environment,020700ca,,,,,,,,,
0.8,liquid,None,,,,,,,,,
0.5,SERIAL-NUMBERS_END,,,,,,,,,,
1943.3,____________,,,,,,,,,,
1943.3,CONFIG_START,,,,,,,,,,
1943.3,name,gravimetric-ot3-p1000-single,,,,,,,,,
1943.3,pipette_volume,1000,,,,,,,,,
1943.4,pipette_channels,1,,,,,,,,,
1943.5,pipette_mount,left,,,,,,,,,
1943.5,tip_volume,1000,,,,,,,,,
1943.6,trials,10,,,,,,,,,
1943.7,increment,FALSE,,,,,,,,,
1943.7,return_tip,FALSE,,,,,,,,,
1943.8,mix,FALSE,,,,,,,,,
1943.9,user_volumes,FALSE,,,,,,,,,
1944,kind,ConfigType.gravimetric,,,,,,,,,
1944,extra,FALSE,,,,,,,,,
1944.1,jog,TRUE,,,,,,,,,
1944.2,same_tip,FALSE,,,,,,,,,
1944.2,ignore_fail,TRUE,,,,,,,,,
1944.3,mode,,,,,,,,,,
1944.4,labware_on_scale,radwag_pipette_calibration_vial,,,,,,,,,
1944.4,slot_scale,4,,,,,,,,,
1944.5,blank,TRUE,,,,,,,,,
1944.6,gantry_speed,40,,,,,,,,,
1944.7,scale_delay,10,,,,,,,,,
1944.7,isolate_channels,,,,,,,,,,
1944.8,isolate_volumes,,,,,,,,,,
1943.3,CONFIG_END,,,,,,,,,,
0,_____________,,,,,,,,,,
0,VOLUMES_START,,,,,,,,,,
1942.8,volume-aspirate-5.0-channel_all-average,5.08,,,,,,,,,
1942.8,volume-aspirate-5.0-channel_all-cv,1.41,,,,,,,,,
1942.9,volume-aspirate-5.0-channel_all-d,1.53,,,,,,,,,
0,volume-aspirate-5.0-channel_all-celsius-pipette-avg,None,,,,,,,,,
0,volume-aspirate-5.0-channel_all-humidity-pipette-avg,None,,,,,,,,,
1943,volume-dispense-5.0-channel_all-average,5,,,,,,,,,
