copy,copy,copy,copy,,,
0,_______________,,,,,
0,META_DATA_START,,,,,
0,test_name,gravimetric-ot3-p200-96,,,,
7.8,test_tag,P2HHV3220250331A02-qc,,,,
0,test_run_id,run-26-06-24-13-21-42,,,,
9.9,test_device_id,P2HHV3220250331A02-qc,,,,
10.4,test_robot_id,FLXA1020230817002,,,,
0,test_time_utc,2026/06/24-13:21:42,,,,
7.8,test_operator,Yanglin,,,,
7.9,test_version,ai_server@0.0.19_55_g5997dcad97-5997dcad97,,,,
7.9,firmware,68,,,,
0,META_DATA_END,,,,,
5379.1,______________________,,,,,
5379.1,RESULTS_OVERVIEW_START,,,,,
5379.1,RESULT_META_DATA,None,,,,
5379.1,RESULT_SERIAL-NUMBERS,None,,,,
5379.1,RESULT_CONFIG,None,,,,
5379.1,RESULT_VOLUMES,None,,,,
5379.1,RESULT_TRIALS,None,,,,
5379.1,RESULT_EVAPORATION,None,,,,
5379.1,RESULT_ENVIRONMENT,None,,,,
5379.1,RESULT_MEASUREMENTS,None,,,,
5379.1,RESULT_ENCODER,None,,,,
5379.1,RESULT_RUNTIME_PARAMS,None,,,,
5379.1,RESULTS_OVERVIEW_END,,,,,
10,____________________,,,,,
10,SERIAL-NUMBERS_START,,,,,
10,robot,NODE5,,,,
10,pipette,P2HHV3220250331A02-qc,,,,
None,tips_20ul,None,,,,
10.1,tips_50ul,Unused,,,,
10.1,tips_200ul,Unused,,,,
10.2,tips_1000ul,Unused,,,,
10.2,scale,586333,,,,
10.3,environment,8d9d000c,,,,
10.3,liquid,water,,,,
10,SERIAL-NUMBERS_END,,,,,
10.4,____________,,,,,
10.4,CONFIG_START,,,,,
10.4,name,gravimetric-ot3-p200-96,,,,
10.5,pipette_volume,200,,,,
10.5,pipette_channels,96,,,,
10.5,pipette_mount,left,,,,
10.6,tip_volume,50,,,,
10.6,trials,9,,,,
10.7,increment,FALSE,,,,
10.7,return_tip,TRUE,,,,
10.8,mix,FALSE,,,,
10.8,user_volumes,FALSE,,,,
10.9,kind,ConfigType.gravimetric.Productions.Opentrons,,,,
10.9,extra,FALSE,,,,
11,jog,FALSE,,,,
11,same_tip,FALSE,,,,
11.1,ignore_fail,TRUE,,,,
11.1,mode,,,,,
11.2,labware_on_scale,nest_1_reservoir_195ml,,,,
11.2,slot_scale,4,,,,
11.2,blank,TRUE,,,,
11.3,gantry_speed,40,,,,
11.3,scale_delay,10,,,,
11.4,isolate_channels,,,,,
11.4,isolate_volumes,,,,,
11.5,liquid,water,,,,
10.4,CONFIG_END,,,,,
0,_____________,,,,,
0,VOLUMES_START,,,,,
2647.1,volume-aspirate-1.0-channel_all-average,1.07,,,,
2647.1,volume-aspirate-1.0-channel_all-cv,4.16,,,,
2647.2,volume-aspirate-1.0-channel_all-d,6.77,,,,
0,volume-aspirate-1.0-channel_all-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-channel_all-humidity-pipette-avg,None,,,,
2647.3,volume-dispense-1.0-channel_all-average,1,,,,
2647.3,volume-dispense-1.0-channel_all-cv,4.65,,,,
2647.4,volume-dispense-1.0-channel_all-d,0.06,,,,
0,volume-dispense-1.0-channel_all-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-channel_all-humidity-pipette-avg,None,,,,
2643.1,volume-aspirate-1.0-channel_1-average,1.07,,,,
2643.1,volume-aspirate-1.0-channel_1-cv,4.16,,,,
2643.2,volume-aspirate-1.0-channel_1-d,6.77,,,,
2643.3,volume-aspirate-1.0-channel_1-celsius-pipette-avg,26.83,,,,
2643.3,volume-aspirate-1.0-channel_1-humidity-pipette-avg,39.42,,,,
2643.4,volume-dispense-1.0-channel_1-average,1,,,,
2643.4,volume-dispense-1.0-channel_1-cv,4.65,,,,
2643.5,volume-dispense-1.0-channel_1-d,0.06,,,,
2643.6,volume-dispense-1.0-channel_1-celsius-pipette-avg,26.83,,,,
2643.6,volume-dispense-1.0-channel_1-humidity-pipette-avg,39.38,,,,
2643.7,volume-aspirate-1.0-trial_1-average,1.09,,,,
2643.7,volume-aspirate-1.0-trial_1-cv,-1,,,,
2643.8,volume-aspirate-1.0-trial_1-d,8.66,,,,
0,volume-aspirate-1.0-trial_1-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_1-humidity-pipette-avg,None,,,,
2643.9,volume-dispense-1.0-trial_1-average,1.04,,,,
2643.9,volume-dispense-1.0-trial_1-cv,-1,,,,
2644,volume-dispense-1.0-trial_1-d,4.18,,,,
0,volume-dispense-1.0-trial_1-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_1-humidity-pipette-avg,None,,,,
2644.1,volume-aspirate-1.0-trial_2-average,1.08,,,,
2644.1,volume-aspirate-1.0-trial_2-cv,-1,,,,
2644.2,volume-aspirate-1.0-trial_2-d,8.27,,,,
0,volume-aspirate-1.0-trial_2-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_2-humidity-pipette-avg,None,,,,
2644.3,volume-dispense-1.0-trial_2-average,1.08,,,,
2644.4,volume-dispense-1.0-trial_2-cv,-1,,,,
2644.4,volume-dispense-1.0-trial_2-d,8.19,,,,
0,volume-dispense-1.0-trial_2-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_2-humidity-pipette-avg,None,,,,
2644.5,volume-aspirate-1.0-trial_3-average,1.06,,,,
2644.6,volume-aspirate-1.0-trial_3-cv,-1,,,,
2644.6,volume-aspirate-1.0-trial_3-d,5.55,,,,
0,volume-aspirate-1.0-trial_3-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_3-humidity-pipette-avg,None,,,,
2644.7,volume-dispense-1.0-trial_3-average,1.02,,,,
2644.8,volume-dispense-1.0-trial_3-cv,-1,,,,
2644.8,volume-dispense-1.0-trial_3-d,2.15,,,,
0,volume-dispense-1.0-trial_3-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_3-humidity-pipette-avg,None,,,,
2644.9,volume-aspirate-1.0-trial_4-average,1.07,,,,
2644.9,volume-aspirate-1.0-trial_4-cv,-1,,,,
2645,volume-aspirate-1.0-trial_4-d,7.24,,,,
0,volume-aspirate-1.0-trial_4-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_4-humidity-pipette-avg,None,,,,
2645.1,volume-dispense-1.0-trial_4-average,1.03,,,,
2645.1,volume-dispense-1.0-trial_4-cv,-1,,,,
2645.2,volume-dispense-1.0-trial_4-d,2.95,,,,
0,volume-dispense-1.0-trial_4-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_4-humidity-pipette-avg,None,,,,
2645.2,volume-aspirate-1.0-trial_5-average,1.02,,,,
2645.3,volume-aspirate-1.0-trial_5-cv,-1,,,,
2645.4,volume-aspirate-1.0-trial_5-d,2.33,,,,
0,volume-aspirate-1.0-trial_5-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_5-humidity-pipette-avg,None,,,,
2645.4,volume-dispense-1.0-trial_5-average,0.94,,,,
2645.5,volume-dispense-1.0-trial_5-cv,-1,,,,
2645.5,volume-dispense-1.0-trial_5-d,-5.82,,,,
0,volume-dispense-1.0-trial_5-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_5-humidity-pipette-avg,None,,,,
2645.6,volume-aspirate-1.0-trial_6-average,1.15,,,,
2645.7,volume-aspirate-1.0-trial_6-cv,-1,,,,
2645.7,volume-aspirate-1.0-trial_6-d,15.18,,,,
0,volume-aspirate-1.0-trial_6-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_6-humidity-pipette-avg,None,,,,
2645.8,volume-dispense-1.0-trial_6-average,0.96,,,,
2645.8,volume-dispense-1.0-trial_6-cv,-1,,,,
2645.9,volume-dispense-1.0-trial_6-d,-4.46,,,,
0,volume-dispense-1.0-trial_6-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_6-humidity-pipette-avg,None,,,,
2646,volume-aspirate-1.0-trial_7-average,1.1,,,,
2646,volume-aspirate-1.0-trial_7-cv,-1,,,,
2646.1,volume-aspirate-1.0-trial_7-d,9.74,,,,
0,volume-aspirate-1.0-trial_7-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_7-humidity-pipette-avg,None,,,,
2646.2,volume-dispense-1.0-trial_7-average,0.98,,,,
2646.2,volume-dispense-1.0-trial_7-cv,-1,,,,
2646.3,volume-dispense-1.0-trial_7-d,-1.91,,,,
0,volume-dispense-1.0-trial_7-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_7-humidity-pipette-avg,None,,,,
2646.3,volume-aspirate-1.0-trial_8-average,1.04,,,,
2646.4,volume-aspirate-1.0-trial_8-cv,-1,,,,
2646.4,volume-aspirate-1.0-trial_8-d,3.62,,,,
0,volume-aspirate-1.0-trial_8-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_8-humidity-pipette-avg,None,,,,
2646.5,volume-dispense-1.0-trial_8-average,0.96,,,,
2646.6,volume-dispense-1.0-trial_8-cv,-1,,,,
2646.6,volume-dispense-1.0-trial_8-d,-4.22,,,,
0,volume-dispense-1.0-trial_8-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_8-humidity-pipette-avg,None,,,,
2646.7,volume-aspirate-1.0-trial_9-average,1,,,,
2646.8,volume-aspirate-1.0-trial_9-cv,-1,,,,
2646.8,volume-aspirate-1.0-trial_9-d,0.38,,,,
0,volume-aspirate-1.0-trial_9-celsius-pipette-avg,None,,,,
0,volume-aspirate-1.0-trial_9-humidity-pipette-avg,None,,,,
2646.9,volume-dispense-1.0-trial_9-average,0.99,,,,
2646.9,volume-dispense-1.0-trial_9-cv,-1,,,,
2647,volume-dispense-1.0-trial_9-d,-0.54,,,,
0,volume-dispense-1.0-trial_9-celsius-pipette-avg,None,,,,
0,volume-dispense-1.0-trial_9-humidity-pipette-avg,None,,,,
3956.4,volume-aspirate-50.0-channel_all-average,50.74,,,,
3956.5,volume-aspirate-50.0-channel_all-cv,0.2,,,,
3956.6,volume-aspirate-50.0-channel_all-d,1.49,,,,
0,volume-aspirate-50.0-channel_all-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-channel_all-humidity-pipette-avg,None,,,,
3956.6,volume-dispense-50.0-channel_all-average,50.72,,,,
3956.7,volume-dispense-50.0-channel_all-cv,0.11,,,,
3956.8,volume-dispense-50.0-channel_all-d,1.43,,,,
0,volume-dispense-50.0-channel_all-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-channel_all-humidity-pipette-avg,None,,,,
3952,volume-aspirate-50.0-channel_1-average,50.74,,,,
3952.1,volume-aspirate-50.0-channel_1-cv,0.2,,,,
3952.2,volume-aspirate-50.0-channel_1-d,1.49,,,,
3952.2,volume-aspirate-50.0-channel_1-celsius-pipette-avg,26.94,,,,
3952.3,volume-aspirate-50.0-channel_1-humidity-pipette-avg,39.54,,,,
3952.4,volume-dispense-50.0-channel_1-average,50.72,,,,
3952.4,volume-dispense-50.0-channel_1-cv,0.11,,,,
3952.5,volume-dispense-50.0-channel_1-d,1.43,,,,
3952.6,volume-dispense-50.0-channel_1-celsius-pipette-avg,26.94,,,,
3952.6,volume-dispense-50.0-channel_1-humidity-pipette-avg,39.47,,,,
3952.7,volume-aspirate-50.0-trial_1-average,50.49,,,,
3952.8,volume-aspirate-50.0-trial_1-cv,-1,,,,
3952.8,volume-aspirate-50.0-trial_1-d,0.98,,,,
0,volume-aspirate-50.0-trial_1-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_1-humidity-pipette-avg,None,,,,
3952.9,volume-dispense-50.0-trial_1-average,50.68,,,,
3953,volume-dispense-50.0-trial_1-cv,-1,,,,
3953,volume-dispense-50.0-trial_1-d,1.36,,,,
0,volume-dispense-50.0-trial_1-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_1-humidity-pipette-avg,None,,,,
3953.1,volume-aspirate-50.0-trial_2-average,50.73,,,,
3953.2,volume-aspirate-50.0-trial_2-cv,-1,,,,
3953.3,volume-aspirate-50.0-trial_2-d,1.46,,,,
0,volume-aspirate-50.0-trial_2-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_2-humidity-pipette-avg,None,,,,
3953.3,volume-dispense-50.0-trial_2-average,50.77,,,,
3953.4,volume-dispense-50.0-trial_2-cv,-1,,,,
3953.5,volume-dispense-50.0-trial_2-d,1.55,,,,
0,volume-dispense-50.0-trial_2-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_2-humidity-pipette-avg,None,,,,
3953.5,volume-aspirate-50.0-trial_3-average,50.79,,,,
3953.6,volume-aspirate-50.0-trial_3-cv,-1,,,,
3953.7,volume-aspirate-50.0-trial_3-d,1.58,,,,
0,volume-aspirate-50.0-trial_3-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_3-humidity-pipette-avg,None,,,,
3953.7,volume-dispense-50.0-trial_3-average,50.69,,,,
3953.8,volume-dispense-50.0-trial_3-cv,-1,,,,
3953.9,volume-dispense-50.0-trial_3-d,1.39,,,,
0,volume-dispense-50.0-trial_3-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_3-humidity-pipette-avg,None,,,,
3953.9,volume-aspirate-50.0-trial_4-average,50.78,,,,
3954,volume-aspirate-50.0-trial_4-cv,-1,,,,
3954.1,volume-aspirate-50.0-trial_4-d,1.56,,,,
0,volume-aspirate-50.0-trial_4-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_4-humidity-pipette-avg,None,,,,
3954.1,volume-dispense-50.0-trial_4-average,50.83,,,,
3954.2,volume-dispense-50.0-trial_4-cv,-1,,,,
3954.2,volume-dispense-50.0-trial_4-d,1.65,,,,
0,volume-dispense-50.0-trial_4-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_4-humidity-pipette-avg,None,,,,
3954.3,volume-aspirate-50.0-trial_5-average,50.82,,,,
3954.4,volume-aspirate-50.0-trial_5-cv,-1,,,,
3954.5,volume-aspirate-50.0-trial_5-d,1.65,,,,
0,volume-aspirate-50.0-trial_5-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_5-humidity-pipette-avg,None,,,,
3954.5,volume-dispense-50.0-trial_5-average,50.72,,,,
3954.6,volume-dispense-50.0-trial_5-cv,-1,,,,
3954.7,volume-dispense-50.0-trial_5-d,1.45,,,,
0,volume-dispense-50.0-trial_5-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_5-humidity-pipette-avg,None,,,,
3954.7,volume-aspirate-50.0-trial_6-average,50.8,,,,
3954.8,volume-aspirate-50.0-trial_6-cv,-1,,,,
3954.9,volume-aspirate-50.0-trial_6-d,1.59,,,,
0,volume-aspirate-50.0-trial_6-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_6-humidity-pipette-avg,None,,,,
3954.9,volume-dispense-50.0-trial_6-average,50.71,,,,
3955,volume-dispense-50.0-trial_6-cv,-1,,,,
3955.1,volume-dispense-50.0-trial_6-d,1.42,,,,
0,volume-dispense-50.0-trial_6-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_6-humidity-pipette-avg,None,,,,
3955.1,volume-aspirate-50.0-trial_7-average,50.78,,,,
3955.2,volume-aspirate-50.0-trial_7-cv,-1,,,,
3955.3,volume-aspirate-50.0-trial_7-d,1.57,,,,
0,volume-aspirate-50.0-trial_7-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_7-humidity-pipette-avg,None,,,,
3955.4,volume-dispense-50.0-trial_7-average,50.62,,,,
3955.4,volume-dispense-50.0-trial_7-cv,-1,,,,
3955.5,volume-dispense-50.0-trial_7-d,1.25,,,,
0,volume-dispense-50.0-trial_7-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_7-humidity-pipette-avg,None,,,,
3955.6,volume-aspirate-50.0-trial_8-average,50.8,,,,
3955.6,volume-aspirate-50.0-trial_8-cv,-1,,,,
3955.7,volume-aspirate-50.0-trial_8-d,1.6,,,,
0,volume-aspirate-50.0-trial_8-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_8-humidity-pipette-avg,None,,,,
3955.8,volume-dispense-50.0-trial_8-average,50.69,,,,
3955.8,volume-dispense-50.0-trial_8-cv,-1,,,,
3955.9,volume-dispense-50.0-trial_8-d,1.37,,,,
0,volume-dispense-50.0-trial_8-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_8-humidity-pipette-avg,None,,,,
3956,volume-aspirate-50.0-trial_9-average,50.71,,,,
3956.1,volume-aspirate-50.0-trial_9-cv,-1,,,,
3956.1,volume-aspirate-50.0-trial_9-d,1.42,,,,
0,volume-aspirate-50.0-trial_9-celsius-pipette-avg,None,,,,
0,volume-aspirate-50.0-trial_9-humidity-pipette-avg,None,,,,
3956.2,volume-dispense-50.0-trial_9-average,50.73,,,,
3956.3,volume-dispense-50.0-trial_9-cv,-1,,,,
3956.4,volume-dispense-50.0-trial_9-d,1.45,,,,
0,volume-dispense-50.0-trial_9-celsius-pipette-avg,None,,,,
0,volume-dispense-50.0-trial_9-humidity-pipette-avg,None,,,,
5378.8,volume-aspirate-200.0-channel_all-average,200.39,,,,
5378.8,volume-aspirate-200.0-channel_all-cv,0.05,,,,
5378.9,volume-aspirate-200.0-channel_all-d,0.19,,,,
0,volume-aspirate-200.0-channel_all-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-channel_all-humidity-pipette-avg,None,,,,
5379,volume-dispense-200.0-channel_all-average,200.25,,,,
5379.1,volume-dispense-200.0-channel_all-cv,0.04,,,,
5379.1,volume-dispense-200.0-channel_all-d,0.12,,,,
0,volume-dispense-200.0-channel_all-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-channel_all-humidity-pipette-avg,None,,,,
5373.9,volume-aspirate-200.0-channel_1-average,200.39,,,,
5374,volume-aspirate-200.0-channel_1-cv,0.05,,,,
5374.1,volume-aspirate-200.0-channel_1-d,0.19,,,,
5374.1,volume-aspirate-200.0-channel_1-celsius-pipette-avg,27.17,,,,
5374.2,volume-aspirate-200.0-channel_1-humidity-pipette-avg,38.95,,,,
5374.3,volume-dispense-200.0-channel_1-average,200.25,,,,
5374.4,volume-dispense-200.0-channel_1-cv,0.04,,,,
5374.5,volume-dispense-200.0-channel_1-d,0.12,,,,
5374.5,volume-dispense-200.0-channel_1-celsius-pipette-avg,27.15,,,,
5374.6,volume-dispense-200.0-channel_1-humidity-pipette-avg,39.01,,,,
5374.7,volume-aspirate-200.0-trial_1-average,200.17,,,,
5374.8,volume-aspirate-200.0-trial_1-cv,-1,,,,
5374.8,volume-aspirate-200.0-trial_1-d,0.08,,,,
0,volume-aspirate-200.0-trial_1-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_1-humidity-pipette-avg,None,,,,
5374.9,volume-dispense-200.0-trial_1-average,200.12,,,,
5375,volume-dispense-200.0-trial_1-cv,-1,,,,
5375.1,volume-dispense-200.0-trial_1-d,0.06,,,,
0,volume-dispense-200.0-trial_1-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_1-humidity-pipette-avg,None,,,,
5375.2,volume-aspirate-200.0-trial_2-average,200.41,,,,
5375.2,volume-aspirate-200.0-trial_2-cv,-1,,,,
5375.3,volume-aspirate-200.0-trial_2-d,0.2,,,,
0,volume-aspirate-200.0-trial_2-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_2-humidity-pipette-avg,None,,,,
5375.4,volume-dispense-200.0-trial_2-average,200.17,,,,
5375.5,volume-dispense-200.0-trial_2-cv,-1,,,,
5375.5,volume-dispense-200.0-trial_2-d,0.09,,,,
0,volume-dispense-200.0-trial_2-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_2-humidity-pipette-avg,None,,,,
5375.6,volume-aspirate-200.0-trial_3-average,200.42,,,,
5375.7,volume-aspirate-200.0-trial_3-cv,-1,,,,
5375.8,volume-aspirate-200.0-trial_3-d,0.21,,,,
0,volume-aspirate-200.0-trial_3-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_3-humidity-pipette-avg,None,,,,
5375.8,volume-dispense-200.0-trial_3-average,200.31,,,,
5375.9,volume-dispense-200.0-trial_3-cv,-1,,,,
5376,volume-dispense-200.0-trial_3-d,0.16,,,,
0,volume-dispense-200.0-trial_3-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_3-humidity-pipette-avg,None,,,,
5376,volume-aspirate-200.0-trial_4-average,200.51,,,,
5376.1,volume-aspirate-200.0-trial_4-cv,-1,,,,
5376.2,volume-aspirate-200.0-trial_4-d,0.25,,,,
0,volume-aspirate-200.0-trial_4-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_4-humidity-pipette-avg,None,,,,
5376.3,volume-dispense-200.0-trial_4-average,200.29,,,,
5376.4,volume-dispense-200.0-trial_4-cv,-1,,,,
5376.5,volume-dispense-200.0-trial_4-d,0.15,,,,
0,volume-dispense-200.0-trial_4-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_4-humidity-pipette-avg,None,,,,
5376.6,volume-aspirate-200.0-trial_5-average,200.34,,,,
5376.6,volume-aspirate-200.0-trial_5-cv,-1,,,,
5376.7,volume-aspirate-200.0-trial_5-d,0.17,,,,
0,volume-aspirate-200.0-trial_5-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_5-humidity-pipette-avg,None,,,,
5376.8,volume-dispense-200.0-trial_5-average,200.24,,,,
5376.9,volume-dispense-200.0-trial_5-cv,-1,,,,
5376.9,volume-dispense-200.0-trial_5-d,0.12,,,,
0,volume-dispense-200.0-trial_5-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_5-humidity-pipette-avg,None,,,,
5377,volume-aspirate-200.0-trial_6-average,200.38,,,,
5377.1,volume-aspirate-200.0-trial_6-cv,-1,,,,
5377.1,volume-aspirate-200.0-trial_6-d,0.19,,,,
0,volume-aspirate-200.0-trial_6-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_6-humidity-pipette-avg,None,,,,
5377.2,volume-dispense-200.0-trial_6-average,200.22,,,,
5377.3,volume-dispense-200.0-trial_6-cv,-1,,,,
5377.4,volume-dispense-200.0-trial_6-d,0.11,,,,
0,volume-dispense-200.0-trial_6-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_6-humidity-pipette-avg,None,,,,
5377.5,volume-aspirate-200.0-trial_7-average,200.42,,,,
5377.5,volume-aspirate-200.0-trial_7-cv,-1,,,,
5377.6,volume-aspirate-200.0-trial_7-d,0.21,,,,
0,volume-aspirate-200.0-trial_7-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_7-humidity-pipette-avg,None,,,,
5377.7,volume-dispense-200.0-trial_7-average,200.29,,,,
5377.8,volume-dispense-200.0-trial_7-cv,-1,,,,
5377.8,volume-dispense-200.0-trial_7-d,0.14,,,,
0,volume-dispense-200.0-trial_7-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_7-humidity-pipette-avg,None,,,,
5377.9,volume-aspirate-200.0-trial_8-average,200.36,,,,
5378,volume-aspirate-200.0-trial_8-cv,-1,,,,
5378,volume-aspirate-200.0-trial_8-d,0.18,,,,
0,volume-aspirate-200.0-trial_8-celsius-pipette-avg,None,,,,
0,volume-aspirate-200.0-trial_8-humidity-pipette-avg,None,,,,
5378.1,volume-dispense-200.0-trial_8-average,200.22,,,,
5378.2,volume-dispense-200.0-trial_8-cv,-1,,,,
5378.3,volume-dispense-200.0-trial_8-d,0.11,,,,
0,volume-dispense-200.0-trial_8-celsius-pipette-avg,None,,,,
0,volume-dispense-200.0-trial_8-humidity-pipette-avg,None,,,,
5378.3,volume-aspirate-200.0-trial_9-average,200.47,,,,
5378.4,volume-aspirate-200.0-trial_9-cv,-1,,,,
5378.5,volume-aspirate-200.0-trial_9-d,0.24,,,,
0,volume-aspirate-200.0-trial_9-celsius-pipette-avg,None,,,,
