copy,copy,copy,,,,,Link,Pipette,Model,Result,Reasons,Warnings,Scale,Robot,test_version,Min CV,Min %D,Avg. Min Water Remaining (uL),tips,Asp sample Range (uL),Disp sample Range (uL),Max CV,Max %D,Avg. Max Water Remaining,tips,Asp sample Range (uL),Disp sample Range (uL),Avg Stem Temp (C),Avg Stem Hum (%),Avg Air Temp (C),Avg Air Hum (%),Mid1 CV,Mid1 %D,Avg. Mid1 Water Remaining (uL),tips,Mid2 CV,Mid2 %D,Avg. Mid1 Water Remaining (uL),tips,measure-init-blank-ul-channel_1-trial-1-grams-average,test_time_utc,pipette_mount,test_operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,_______________,,,,,Copy->,https://docs.google.com/spreadsheets/d/1es6nTOJdAV1IYDRJu3JYzEDHmaJjvcBibfn0DYFV4Fs/edit?gid=0#gid=0,P50SV3620260626A12,P50S,PASS,-,Hum Out of Range,685823,GRAV4,53ddc9ce29,0.890,3.570,0.020,A20260227-L,0.035,0.024,0.200,0.580,0.134,A20260227-L,0.231,0.369,25.99,42.18,22.00,46.38,#N/A,#N/A,,A20260227-L,#N/A,#N/A,,A20260227-L,16.511,2026/06/30-19:31:47,left,Yanglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,META_DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,test_name,gravimetric-ot3-p50-single,,,,P50SV3620260626A12,,,,,,,,,,,,,,,,,,Margin,0.2,(20%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mp.pipette_p50s_v36-53ddc9ce29,mp.pipette_p50s_v36,53ddc9ce29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,test_tag,P50SV3620260626A12-qc,,,,Volume Specs:,,PASS,,,,,,,,,,,,,,,,QC Passing Specs,,,,,,D,%,CV,Measured,,Fixture,robot,Scale,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,test_run_id,run-26-06-30-19-31-37,,,,,,,,,,,,,,,,,,,,,,,P50S,Min,50ul,1,1.06,6.4,-6.4,5.6,0.890,,GRAV1,OT3DVT20230428A02,590755,AS 82/220.X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,test_device_id,P50SV3620260626A12-qc,,,,,,,Measured,Spec,,,,,,,,,,,,,,,,,,1,0.94,6.4,-6.4,5.6,0.890,,GRAV2,OT3DVT20230620A01,540973,AS 82/220.X2,,,,,,,,,,,,,,,,,,,,,,TRIALS,,,,,,,,,,,,MEASURE,,,,,,,,,,,,,,,ENCODER,,,,,,,,,,,,
0.4,test_robot_id,GRAV4,,,,,Min CV,PASS,0.890,5.6,,,,,,,,,,,,,,,,Mid,50ul,10,10.12,1.2,-1.2,0.4,#N/A,,GRAV3,FLXA1020230909002,586337,AS 82/220.X2,,,,,,,,,Volume Specs,https://docs.google.com/spreadsheets/d/1LNrBdvU90GG0iUA5Y0wali5xK5aPCULKgg0lUe72lKU/edit#gid=1047999601,,,,,,,,,,,,,time,value,,,,,,,,,,,time,value,,,,,,,,,,,,,,time,value,,,,,,,,,,
0,test_time_utc,2026/06/30-19:31:47,,,,,Min %D,PASS,3.570,6.4,,,,,,,,,,,,,,,,,,10,9.88,1.2,-1.2,0.4,#N/A,,GRAV4,FLXA1020230816005,685822,XA 6/21.4Y.M.A.P PLUS,,,,,,,,,,,,,,,%D,,CV,,,,,trial-1-aspirate-1.0-ul-channel_1,1054.2,1.050056458,trial,1,aspirate,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-celsius-pipette,271.4,-4.50E+01,measure,init,blank,ul,channel_1,trial,1,celsius,pipette,,,,encoder-volume-1.0-channel_0-trial-1-start-target,1009.3,61.5,encoder,volume,1,channel_0,trial,1,start,target,,
0.1,test_operator,Yanglin,,,,,Mid1 CV,,,0.4,,,,,,,,,,,,,,,,Mid2,50ul,#N/A,#N/A,#N/A,#N/A,#N/A,,,GRAV5,FLXA1020240601001,689861,XA 6/21.4Y.M.A.P PLUS,,,,,,,,,,P1000S,Min,50ul,5,5.25,5,-5,2.5,,,,,trial-1-dispense-1.0-ul-channel_1,1054.2,1.05E+00,trial,1,dispense,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-humidity-pipette,271.5,0.00E+00,measure,init,blank,ul,channel_1,trial,1,humidity,pipette,,,,encoder-volume-1.0-channel_0-trial-1-start-encoder,1009.4,6.15E+01,encoder,volume,1,channel_0,trial,1,start,encoder,,
0.2,test_version,mp.pipette_p50s_v36-53ddc9ce29,,,,,Mid1 %D,,,1.2,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,GRAV6,FLXA1020240601002,681664,XA 6/21.4Y.M.A.P PLUS,,,,,,,,,,,,,5,4.75,5,-5,2.5,,,,,trial-1-liquid_height-1.0-ul-channel_1,1054.3,27.39477335,trial,1,liquid_height,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-celsius-air,271.5,21.5,measure,init,blank,ul,channel_1,trial,1,celsius,air,,,,encoder-volume-1.0-channel_0-trial-1-start-drift,1009.5,2.00E-03,encoder,volume,1,channel_0,trial,1,start,drift,,
0.2,firmware,43,,,,,Mid2 CV,,,#N/A,,,,,,,,,,,,,,,,Max,50ul,50,50.5,1,-1,0.32,0.200,,GRAV7,FLXA1020230817001,634559,XA 6/21.4Y.M.A.P PLUS,,,,,,,,,,,Mid1,50ul,50,50.25,0.5,-0.5,0.3,,,,,trial-2-aspirate-1.0-ul-channel_1,1165.9,1.05E+00,trial,2,aspirate,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-humidity-air,271.6,4.82E+01,measure,init,blank,ul,channel_1,trial,1,humidity,air,,,,encoder-volume-1.0-channel_0-trial-1-end-target,1009.5,59.362,encoder,volume,1,channel_0,trial,1,end,target,,
0,META_DATA_END,,,,,,Mid2 %D,,,#N/A,,,,,,,,,,,,,,,,,,50,49.5,1,-1,0.32,0.200,,GRAV8,FLXA1020230817003,559401,AS 82/220.X2,,,,,,,,,,,,,50,49.75,0.5,-0.5,0.3,,,,,trial-2-dispense-1.0-ul-channel_1,1165.9,1.03E+00,trial,2,dispense,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-pascals-air,271.7,1.00E+03,measure,init,blank,ul,channel_1,trial,1,pascals,air,,,,encoder-volume-1.0-channel_0-trial-1-end-encoder,1009.6,59.361,encoder,volume,1,channel_0,trial,1,end,encoder,,
3241.6,______________________,,,,,,MaxCV,PASS,0.200,0.32,,,,,,,,,,,,,,,,,,,,,,,,,GRAV9,OT3DVT20230428A04,689860,XA 6/21.4Y.M.A.P PLUS,,,,,,,,,,,Mid2,200ul,200,201,0.5,-0.5,0.15,,,,,trial-2-liquid_height-1.0-ul-channel_1,1166,27.39397743,trial,2,liquid_height,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-celsius-liquid,271.7,2.50E+01,measure,init,blank,ul,channel_1,trial,1,celsius,liquid,,,,encoder-volume-1.0-channel_0-trial-1-end-drift,1009.6,-1.00E-03,encoder,volume,1,channel_0,trial,1,end,drift,,2.138
3241.6,RESULTS_OVERVIEW_START,,,,,,Max%D,PASS,0.580,1,,,,,,,,,,,,,,Published Specs,,,,,,D,%,CV,,,GRAV10,FLXA1020230817002,586333,AS 82/220.X2,,,,,,,,,,,,,200,199,0.5,-0.5,0.15,,,,,trial-3-aspirate-1.0-ul-channel_1,1277.9,1.038588958,trial,3,aspirate,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-grams-average,271.8,16.51061544,measure,init,blank,ul,channel_1,trial,1,grams,average,,,,encoder-volume-1.0-channel_0-trial-2-start-target,1121,61.5,encoder,volume,1,channel_0,trial,2,start,target,,
3241.6,RESULT_META_DATA,None,,,,,,,,,,,,,,,,,,,,,,,P50S,Min,50ul,1,1.08,8,-8,7,,,GRAV11,FLXA1020230919003,586332,AS 82/220.X2,,,,,,,,,,,Max,1000ul,1000,1005,0.5,-0.5,0.15,,,,,trial-3-dispense-1.0-ul-channel_1,1277.9,1.02E+00,trial,3,dispense,1,ul,channel_1,,,,measure-init-blank-ul-channel_1-trial-1-grams-cv,271.8,1.30E-07,measure,init,blank,ul,channel_1,trial,1,grams,cv,,,,encoder-volume-1.0-channel_0-trial-2-start-encoder,1121.1,61.507,encoder,volume,1,channel_0,trial,2,start,encoder,,
